head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	same_strand	gene_stream	head_stream
head95	SM_V7_7H004	1998	2098	-	675	100	Smp_317960	hg	9802.0		0.0	1.0	11900.0	52552.0	-	40652	0.11868910714235548	True	gh	gh
head98	SM_V7_2H002	2498	2598	-	211	100	Smp_321400	olap	0.0		0.0	1.0	1557.0	20470.0	+	18913	0.09811514076142991	False	olap	olap
head100	SM_V7_2H016	3173	3273	+	311	100					0.0	1.0						False		
head105	SM_V7_7H009	3465	3565	+	432	100					0.0	1.0						False		
head116	SM_V7_2H018	3950	4050	+	589	100	Smp_303620	hg	5359.0		0.5438891780113111	1.0	9409.0	31172.0	-	21763	0.18195699097126072	False	gh	hg
head124	SM_V7_U003	2823	2923	-	594	100	Smp_331960	hg	41001.0		0.9197575302029642	2.0	43924.0	57912.0	-	13988	0.6795036177572588	True	gh	gh
head125	SM_V7_6H001	3025	3125	-	445	100	Smp_327080	hg	23062.0		3.0666023738471075	1.0	26187.0	28142.0	-	1955	0.05490070674237031	True	gh	gh
head137	SM_V7_6H006	4501	4601	+	578	100	Smp_317850	hg	11785.0		0.0	1.0	16386.0	30117.0	+	13731	5.020737239919911	True	hg	hg
head145	SM_V7_ZWH009	4796	4896	+	615	100	Smp_331060	hg	8876.0		0.0	1.0	13772.0	36272.0	-	22500	0.04536124885342286	False	gh	hg
head152	SM_V7_U004	4857	4957	+	611	100	Smp_328750	hg	3379.0		0.0	4.0	8336.0	16512.0	+	8176	0.006563777010844788	True	hg	hg
head157	SM_V7_ZWH038	3206	3306	-	981	100	Smp_325280	hg	4098.0		0.0	2.0	7404.0	25912.0	-	18508	0.19162367494121066	True	gh	gh
head159	SM_V7_1H036	1033	1133	-	3189	100	Smp_324850	hg	6142.0		0.0	1.0	7275.0	18369.0	+	11094	1.2798320410483872	False	hg	gh
head169	SM_V7_3H020	4803	4903	+	335	100					0.0	1.0						False		
head173	SM_V7_ZWH043	1213	1313	-	3188	100	Smp_331860	hg	4428.0		8.67769998204894	0.0	5741.0	21202.0	-	15461	1.2423319640509767	True	gh	gh
head174	SM_V7_U010	4736	4836	+	217	100	Smp_320880	olap	0.0		0.0	2.0	2198.0	12112.0	-	9914	0.012378852389065857	False	olap	olap
head175	SM_V7_1H025	5049	5149	+	513	100					0.0	1.0						False		
head183	SM_V7_1H015	3921	4021	-	835	100	Smp_320930	hg	30915.0		1.456130383913771	1.0	34936.0	38401.0	+	3465	0.13381802623891145	False	hg	gh
head185	SM_V7_1H030	4083	4183	-	718	100	Smp_307360	hg	15893.0		0.0	1.0	20076.0	25452.0	+	5376	0.46518381660451347	False	hg	gh
head186	SM_V7_3H002	6398	6498	+	1380	100					0.0	1.0						False		
head188	SM_V7_2H009	5535	5635	+	507	100	Smp_317050	hg	1104.0		0.0	1.0	6739.0	33372.0	-	26633	8.588855599423233	False	gh	hg
head189	SM_V7_2H004	4767	4867	-	147	100	Smp_324940	hg	8909.0	0.18569522750169648	1.8374132232502451	0.0	13776.0	17635.0	+	3859	1.1804899266421898	False	hg	gh
head193	SM_V7_1H031	6113	6213	+	823	100					0.0	1.0						False		
head194	SM_V7_1H012	8491	8591	+	3191	100					0.0	1.0						False		
head198	SM_V7_5H015	5701	5801	+	234	100	Smp_321340	hg	8515.0		0.0	1.0	14316.0	22590.0	+	8274	0.10299046043243437	True	hg	hg
head206	SM_V7_1H044	7242	7342	+	1522	100					0.0	1.0						False		
head207	SM_V7_5H016	5490	5590	-	181	100					0.0	1.0						False		
head211	SM_V7_1H034	6634	6734	+	605	100					0.0	1.0						False		
head212	SM_V7_1H011	6944	7044	+	896	100	Smp_320840	hg	4902.0		0.0	1.0	11946.0	32644.0	+	20698	0.10718326618804927	True	hg	hg
head214	SM_V7_ZWH011	6679	6779	+	421	100					27.245849071873472	1.0						False		
head218	SM_V7_ZWH009	5518	5618	-	704	100	Smp_331060	hg	8154.0		0.0	1.0	13772.0	36272.0	-	22500	0.04536124885342286	True	gh	gh
head224	SM_V7_ZWU002	4184	4284	-	2276	100	Smp_321290	hg	18882.0		0.3068098564629972	0.0	23166.0	38759.0	+	15593	0.13663938739621115	False	hg	gh
head228	SM_V7_6H019	6424	6524	-	173	100	Smp_325290	olap	0.0	0.726721434048212	0.0	1.0	3716.0	26395.0	+	22679	0.3515743365365523	False	olap	olap
head235	SM_V7_6H006	6261	6361	-	558	100	Smp_317850	hg	10025.0		0.0	1.0	16386.0	30117.0	+	13731	5.020737239919911	False	hg	gh
head243	SM_V7_2H013	6408	6508	-	668	100					1.225895347479934	1.0						False		
head259	SM_V7_ZWH046	7782	7882	+	149	100	Smp_326980	hg	1204.0		0.0	0.0	9086.0	9883.0	+	797	0.35665373060387184	True	hg	hg
head260	SM_V7_4	7397	7497	-	158	100	Smp_328890	olap	0.0	0.6142849628892862	3.1411205688062145	1.0	2776.0	11548.0	+	8772	6.050013117510341	False	olap	olap
head262	SM_V7_7H002	8777	8877	+	1049	100	Smp_327150	olap	0.0	0.6608807577536066	2.044815574849412	1.0	1515.0	95647.0	+	94132	2.0259528461826237	True	olap	olap
head267	SM_V7_1H021	11053	11153	+	3186	100					0.0	0.0						False		
head288	SM_V7_W011	7608	7708	-	647	100	Smp_308070	hg	51099.0		0.0	0.0	58807.0	62862.0	-	4055	0.0	True	gh	gh
head292	SM_V7_U003	7336	7436	-	988	100	Smp_331960	hg	36488.0		0.3068098564629972	2.0	43924.0	57912.0	-	13988	0.6795036177572588	True	gh	gh
head293	SM_V7_2H012	8114	8214	-	214	100	Smp_320850	olap	0.0	0.2497256120276391	2.3073723127054446	1.0	7336.0	41866.0	+	34530	2.5466717768960514	False	olap	olap
head294	SM_V7_ZWH011	8711	8811	+	247	100					0.0	1.0						False		
head307	SM_V7_U003	8665	8765	-	232	100	Smp_331960	hg	35159.0		0.0	3.0	43924.0	57912.0	-	13988	0.6795036177572588	True	gh	gh
head308	SM_V7_1H003	7905	8005	-	1078	100	Smp_315050	hg	9571.0	-0.205076166413938	0.2043158912466557	1.0	17576.0	24881.0	+	7305	1.1630139657076206	False	hg	gh
head315	SM_V7_4H031	8260	8360	-	873	100	Smp_324880	hg	5405.0		0.0	1.0	13765.0	16442.0	-	2677	0.7487233317478742	True	gh	gh
head319	SM_V7_4H009	9567	9667	+	238	100	Smp_311430	olap	0.0	0.2678835110693958	1.7283565276152897	1.0	1.0	41892.0	-	41891	0.5650403725842523	False	olap	olap
head320	SM_V7_2H017	8922	9022	-	327	100					0.0	1.0						False		
head321	SM_V7_7H009	9947	10047	+	573	100					4.014234777110418	1.0						False		
head322	SM_V7_1H004	12669	12769	+	3183	100	Smp_318550	olap	0.0	0.4011551380010134	0.9491805641017805	0.0	2496.0	48372.0	-	45876	3.665494567259458	False	olap	olap
head329	SM_V7_3H014	9970	10070	+	251	100					0.0	1.0						False		
head332	SM_V7_1H002	8475	8575	-	1316	100	Smp_329830	olap	0.0		0.0	1.0	2056.0	11900.0	+	9844	0.022381015947764576	False	olap	olap
head333	SM_V7_2H013	10145	10245	+	225	100					0.4086317824933114	1.0						False		
head335	SM_V7_ZWH011	9976	10076	-	95	100					0.0	1.0						False		
head337	SM_V7_4H023	9423	9523	-	687	100					0.0	1.0						False		
head344	SM_V7_ZWH021	10574	10674	+	92	100					0.0	1.0						False		
head352	SM_V7_4H038	10006	10106	-	527	100					0.5438891780113111	1.0						False		
head353	SM_V7_ZWH043	13858	13958	+	3186	100	Smp_331860	olap	0.0	0.6868778323982356	0.680576371498967	1.0	5741.0	21202.0	-	15461	1.2423319640509767	False	olap	olap
head358	SM_V7_4H024	13036	13136	+	2094	100					0.0	1.0						False		
head360	SM_V7_1H025	10794	10894	-	235	100					0.0	1.0						False		
head365	SM_V7_5H012	11660	11760	+	173	100	Smp_318600	hg	2629.0		0.0	2.0	14389.0	35076.0	+	20687	0.005258270198784851	True	hg	hg
head366	SM_V7_5H006	11258	11358	-	189	100					0.0	1.0						False		
head367	SM_V7_ZWH045	11969	12069	+	401	100					0.0	1.0						False		
head372	SM_V7_3H009	11815	11915	+	97	100	Smp_321130	olap	0.0		0.0	1.0	8900.0	14162.0	-	5262	0.022019583407910995	False	olap	olap
head375	SM_V7_7H012	12524	12624	+	631	100	Smp_325320	olap	0.0	0.3281616214871993	0.0	1.0	4206.0	21590.0	+	17384	1.266138872464146	True	olap	olap
head379	SM_V7_ZWH009	11573	11673	-	370	100	Smp_331060	hg	2099.0		0.0	1.0	13772.0	36272.0	-	22500	0.04536124885342286	True	gh	gh
head384	SM_V7_3H019	11731	11831	-	515	100					0.0	1.0						False		
head386	SM_V7_3H016	12714	12814	+	320	100	Smp_324780	gh	10402.0		0.3068098564629972	0.0	567.0	2312.0	-	1745	9.135141569774053	False	hg	gh
head387	SM_V7_4H001	13120	13220	+	692	100	Smp_325340	hg	10633.0		0.0	0.0	23853.0	37101.0	+	13248	1.1901844498284602	True	hg	hg
head395	SM_V7_3H005	12400	12500	-	223	100					0.0	1.0						False		
head398	SM_V7_2H005	12219	12319	-	463	100	Smp_325080	hg	19765.0	0.972334068041207	1.3945882124856195	1.0	32084.0	66012.0	-	33928	4.108585368132258	True	gh	gh
head400	SM_V7_1H008	12218	12318	-	517	100					0.0	1.0						False		
head408	SM_V7_2H016	12248	12348	-	820	100					0.4086317824933114	1.0						False		
head413	SM_V7_5H001	11860	11960	-	1361	100	Smp_320990	olap	0.0		0.0	0.0	4446.0	47168.0	+	42722	0.8538123695806776	False	olap	olap
head416	SM_V7_3H020	14236	14336	+	823	100					0.0	1.0						False		
head419	SM_V7_U004	14211	14311	+	517	100	Smp_328750	olap	0.0		0.0	12.0	8336.0	16512.0	+	8176	0.006563777010844788	True	olap	olap
head421	SM_V7_W011	13946	14046	+	223	100	Smp_308070	hg	44761.0		0.0	1.0	58807.0	62862.0	-	4055	0.0	False	gh	hg
head423	SM_V7_1H007	13545	13645	-	87	100	Smp_301310	olap	0.0		0.0	1.0	4268.0	21367.0	+	17099	0.053915392327333264	False	olap	olap
head426	SM_V7_5H005	14179	14279	+	200	100	Smp_328810	hg	10200.0		0.0	0.0	24479.0	35782.0	-	11303	0.057900011861567166	False	gh	hg
head427	SM_V7_7H011	13215	13315	-	550	100					0.0	1.0						False		
head430	SM_V7_7H009	14981	15081	+	950	100					1.4654803353872734	1.0						False		
head432	SM_V7_6H009	14379	14479	+	289	100	Smp_303360	olap	0.0		0.0	1.0	7470.0	21532.0	-	14062	0.3786681324274904	False	olap	olap
head438	SM_V7_ZWH004	14909	15009	+	637	100	Smp_329890	hg	34697.0		0.0	4.0	49706.0	53289.0	+	3583	0.0	True	hg	hg
head440	SM_V7_5H009	13742	13842	-	552	100	Smp_314150	hg	38304.0		0.3068098564629972	1.0	52146.0	56632.0	+	4486	6.228311946563599	False	hg	gh
head448	SM_V7_3H005	14278	14378	-	160	100					0.0	1.0						False		
head449	SM_V7_1H021	15119	15219	+	544	100					0.0	1.0						False		
head450	SM_V7_ZWH027	14147	14247	-	307	100					0.0	1.0						False		
head455	SM_V7_ZWH010	17923	18023	+	3201	100	Smp_316820	hg	15603.0		1.8408591387779831	3.0	33626.0	35009.0	+	1383	112.90340363229575	True	hg	hg
head456	SM_V7_7H014	14892	14992	+	146	100	Smp_325420	hg	7594.0		0.0	1.0	22586.0	24420.0	+	1834	1.1353596155676098	True	hg	hg
head457	SM_V7_2H003	13363	13463	-	1279	100	Smp_324820	hg	2063.0		0.0	0.0	15526.0	16972.0	-	1446	0.018806679737597202	True	gh	gh
head462	SM_V7_4H002	11761	11861	-	3186	100	Smp_335940	olap	0.0		0.0	0.0	1116.0	15903.0	+	14787	0.07988425132076428	False	olap	olap
head465	SM_V7_3H001	15898	15998	+	806	100	Smp_317010	hg	98.0		0.0	1.0	16096.0	16816.0	+	720	3.6579443073875173	True	hg	hg
head467	SM_V7_5H005	15270	15370	+	160	100	Smp_328810	hg	9109.0		0.3068098564629972	1.0	24479.0	35782.0	-	11303	0.057900011861567166	False	gh	hg
head470	SM_V7_6H025	14653	14753	-	346	100					0.0	1.0						False		
head474	SM_V7_ZWH029	14808	14908	-	346	100	Smp_324770	olap	0.0		0.0		9836.0	29594.0	+	19758	0.08796871279443487	False	olap	olap
head481	SM_V7_5H006	15175	15275	-	281	100					0.3068098564629972	0.0						False		
head498	SM_V7_2	16166	16266	+	108	100	Smp_118780	hg	260.0	0.4173687963243064	0.0	0.0	16526.0	33580.0	+	17054	4.443997630213805	True	hg	hg
head501	SM_V7_6H021	16287	16387	+	185	100					0.0	1.0						False		
head513	SM_V7_ZWH029	15965	16065	-	374	100	Smp_324770	olap	0.0		0.0	1.0	9836.0	29594.0	+	19758	0.08796871279443487	False	olap	olap
head515	SM_V7_ZWH013	16737	16837	+	137	100					0.0	1.0						False		
head517	SM_V7_5H005	16225	16325	-	434	100	Smp_328810	hg	8154.0		0.0	0.0	24479.0	35782.0	-	11303	0.057900011861567166	True	gh	gh
head522	SM_V7_4H038	17698	17798	+	783	100					0.0	1.0						False		
head526	SM_V7_3H015	13688	13788	-	3186	100	Smp_307440	olap	0.0		0.0	1.0	6748.0	19782.0	-	13034	5.371207645552603	True	olap	olap
head542	SM_V7_7H006	16444	16544	-	947	100	Smp_321270	hg	11331.0	-0.13629408891405306	2.9004515563030133	1.0	27875.0	37082.0	-	9207	2.3857590915524334	True	gh	gh
head546	SM_V7_2H017	18356	18456	+	715	100					0.0	1.0						False		
head552	SM_V7_1H028	14537	14637	-	3190	100					0.0	0.0						False		
head553	SM_V7_2H010	17599	17699	-	168	100	Smp_317890	hg	10921.0		0.8430535653051421	1.0	28620.0	54372.0	-	25752	0.08251183621460458	True	gh	gh
head554	SM_V7_ZWU007	17170	17270	-	617	100					0.0	1.0						False		
head556	SM_V7_3H006	18756	18856	+	820	100	Smp_332190	olap	0.0	0.7178042866901624	0.0	1.0	10347.0	32682.0	-	22335	1.0342106907919304	False	olap	olap
head563	SM_V7_3H005	19052	19152	+	838	100					0.0	1.0						False		
head582	SM_V7_1H038	18963	19063	+	87	100					0.0	1.0						False		
head585	SM_V7_7H011	18114	18214	-	804	100					0.0	1.0						False		
head586	SM_V7_1H006	15744	15844	-	3186	100	Smp_318730	gh	1012.0		0.0	1.0	10445.0	14732.0	-	4287	86.55102657299363	True	hg	hg
head592	SM_V7_3H019	15937	16037	-	3186	100					0.0	0.0						False		
head595	SM_V7_7H005	18494	18594	-	712	100	Smp_321240	olap	0.0		0.0	1.0	11866.0	31256.0	+	19390	0.05177139600135472	False	olap	olap
head604	SM_V7_7H014	20171	20271	+	280	100	Smp_325420	hg	2315.0		4.216089225654761	1.0	22586.0	24420.0	+	1834	1.1353596155676098	True	hg	hg
head613	SM_V7_W011	16893	16993	-	3186	100	Smp_308070	hg	41814.0		0.0	1.0	58807.0	62862.0	-	4055	0.0	True	gh	gh
head614	SM_V7_ZWH045	19398	19498	-	701	100					0.0	1.0						False		
head615	SM_V7_1H021	19551	19651	-	64	100					0.0							False		
head622	SM_V7_4H038	19498	19598	-	752	100					0.0	1.0						False		
head625	SM_V7_ZWH022	20104	20204	-	216	100					0.0	1.0						False		
head628	SM_V7_2H010	20813	20913	+	281	100	Smp_317890	hg	7707.0		0.0	0.0	28620.0	54372.0	-	25752	0.08251183621460458	False	gh	hg
head630	SM_V7_ZWH004	19991	20091	-	513	100	Smp_329890	hg	29615.0		0.0	12.0	49706.0	53289.0	+	3583	0.0	False	hg	gh
head633	SM_V7_4H002	20865	20965	+	85	100	Smp_335940	gh	4962.0		0.0	0.0	1116.0	15903.0	+	14787	0.07988425132076428	True	gh	gh
head634	SM_V7_ZWH031	20318	20418	-	377	100					0.0	2.0						False		
head638	SM_V7_W019	24072	24172	+	3186	100	Smp_146490	gh	7520.0		0.0	0.0	7513.0	16552.0	-	9039	21.64673290381172	False	hg	gh
head644	SM_V7_6H020	21289	21389	+	199	100	Smp_325310	hg	1937.0		1.8975255967087403		23326.0	24372.0	+	1046	0.0	True	hg	hg
head646	SM_V7_1H002	20410	20510	-	573	100	Smp_314120	olap	0.0	0.6125866967776963	0.0	1.0	18607.0	24362.0	-	5755	2.1209378813977326	True	olap	olap
head648	SM_V7_1H002	21925	22025	+	784	100	Smp_314120	olap	0.0	0.6422718204563741	0.5438891780113111	1.0	18607.0	24362.0	-	5755	2.1209378813977326	False	olap	olap
head651	SM_V7_3H014	21837	21937	+	603	100					0.3068098564629972	1.0						False		
head656	SM_V7_7H003	20710	20810	-	462	100	Smp_315040	hg	6554.0		0.0	1.0	27364.0	33272.0	-	5908	5.9225182930007945	True	gh	gh
head657	SM_V7_1H025	21461	21561	+	175	100					0.0	1.0						False		
head661	SM_V7_4H023	21038	21138	-	200	100					0.0	1.0						False		
head677	SM_V7_1H043	20504	20604	-	1164	100	Smp_325230	gh	2404.0		0.2043158912466557	1.0	15006.0	18100.0	+	3094	2.8043640698494183	False	gh	hg
head678	SM_V7_1H021	23153	23253	+	1291	100					0.0	1.0						False		
head680	SM_V7_ZWH042	22258	22358	+	387	100	Smp_325510	gh	4836.0		0.0	1.0	14654.0	17422.0	-	2768	1.4643569009149173	False	hg	gh
head681	SM_V7_U001	23553	23653	+	1638	100					0.0	7.0						False		
head683	SM_V7_4H026	22378	22478	+	442	100	Smp_307410	gh	5841.0		0.0	1.0	15716.0	16537.0	+	821	22.531100508766592	True	gh	gh
head684	SM_V7_1H007	25129	25229	+	3183	100	Smp_301320	hg	3208.0		0.0	0.0	28437.0	45152.0	-	16715	0.4328321088014464	False	gh	hg
head708	SM_V7_6H024	22442	22542	-	167	100					0.0	1.0						False		
head712	SM_V7_3H009	21447	21547	-	1206	100	Smp_321140	hg	4149.0		0.0	1.0	25696.0	29477.0	+	3781	0.2856692305588078	False	hg	gh
head721	SM_V7_2H003	23109	23209	+	51	100	Smp_307450	olap	0.0		0.0	0.0	18678.0	47222.0	-	28544	0.12621631792929183	False	olap	olap
head734	SM_V7_7H013	22798	22898	-	680	100					0.0	1.0						False		
head735	SM_V7_7H009	24064	24164	+	403	100					0.2043158912466557	1.0						False		
head737	SM_V7_ZWH038	20422	20522	-	3186	100	Smp_325280	olap	0.0		0.0	1.0	7404.0	25912.0	-	18508	0.19162367494121066	True	olap	olap
head741	SM_V7_6H001	24135	24235	+	172	100	Smp_327080	hg	1952.0		0.0	3.0	26187.0	28142.0	-	1955	0.05490070674237031	False	gh	hg
head746	SM_V7_2H012	24641	24741	+	475	100	Smp_320850	olap	0.0		0.0	1.0	7336.0	41866.0	+	34530	2.5466717768960514	True	olap	olap
head750	SM_V7_ZWH026	24610	24710	+	406	100					0.0	1.0						False		
head759	SM_V7_6H017	25014	25114	+	292	100	Smp_325060	gh	912.0	0.27083358822414433	5.773975951495305	1.0	22573.0	24102.0	-	1529	1.7876842319102506	False	hg	gh
head760	SM_V7_3H016	27979	28079	+	3187	100	Smp_324790	olap	0.0		0.0	1.0	23776.0	29694.0	+	5918	0.14766288427249757	True	olap	olap
head766	SM_V7_4H030	23388	23488	-	1463	100	Smp_332730	olap	0.0		0.0	1.0	656.0	31012.0	-	30356	7.360575087663424	True	olap	olap
head770	SM_V7_ZWU002	23650	23750	-	1355	100	Smp_321290	olap	0.0		0.0	0.0	23166.0	38759.0	+	15593	0.13663938739621115	False	olap	olap
head776	SM_V7_ZWH027	25801	25901	+	403	100					0.0	1.0						False		
head777	SM_V7_5H004	24834	24934	-	460	100					0.3068098564629972	1.0						False		
head778	SM_V7_ZWH026	25021	25121	-	319	100					0.0	1.0						False		
head782	SM_V7_ZWH003	24492	24592	-	1029	100	Smp_329790	olap	0.0		0.0	1.0	22967.0	28512.0	-	5545	0.0603935112548444	True	olap	olap
head783	SM_V7_1H025	25738	25838	+	75	100					0.0	1.0						False		
head798	SM_V7_1H019	25882	25982	-	194	100	Smp_321030	olap	0.0	0.9498635870051414	1.3600839187770593	1.0	25046.0	27656.0	+	2610	9.313787026358824	False	olap	olap
head800	SM_V7_ZWH011	26833	26933	+	557	100					0.0	1.0						False		
head801	SM_V7_ZW	29536	29636	+	3186	100	Smp_303010	olap	0.0		1.1493205274507736	0.0	18966.0	59346.0	+	40380	0.5352524655893537	True	olap	olap
head814	SM_V7_3H001	30007	30107	+	3187	100	Smp_327180	hg	928.0		0.0	1.0	31035.0	31882.0	-	847	7.003089115033321	False	gh	hg
head829	SM_V7_3H002	27687	27787	+	431	100					0.0	1.0						False		
head845	SM_V7_ZWH035	27488	27588	-	259	100					0.0	2.0						False		
head854	SM_V7_2H027	28445	28545	+	109	100					0.0	1.0						False		
head858	SM_V7_ZWU007	28688	28788	+	80	100					0.42152678265257104	1.0						False		
head864	SM_V7_1H015	29223	29323	+	291	100	Smp_320930	hg	5613.0		0.6136197129259944	1.0	34936.0	38401.0	+	3465	0.13381802623891145	True	hg	hg
head865	SM_V7_ZWH003	28687	28787	-	149	100	Smp_329790	gh	175.0		0.0	1.0	22967.0	28512.0	-	5545	0.0603935112548444	True	hg	hg
head866	SM_V7_5H007	28233	28333	-	662	100	Smp_328880	gh	7990.0		0.0	0.0	15856.0	20243.0	+	4387	0.027911227479149266	False	gh	hg
head875	SM_V7_4H005	28400	28500	-	769	100					1.1493205274507736	5.0						False		
head882	SM_V7_ZWH021	29915	30015	+	202	100					0.0	1.0						False		
head886	SM_V7_4H009	30545	30645	+	314	100	Smp_311430	olap	0.0		0.0	1.0	1.0	41892.0	-	41891	0.5650403725842523	False	olap	olap
head888	SM_V7_7H002	30694	30794	+	325	100	Smp_327150	olap	0.0	0.5785170349835334	0.5438891780113111	1.0	1515.0	95647.0	+	94132	2.0259528461826237	True	olap	olap
head891	SM_V7_6H005	32546	32646	+	1969	100					1.1575088909373055	0.0						False		
head895	SM_V7_4H012	27422	27522	-	3189	100	Smp_321050	olap	0.0	0.534012601342172	12.601064918012067	1.0	22010.0	39282.0	-	17272	1.2513259861538586	True	olap	olap
head898	SM_V7_ZWH004	29687	29787	-	1226	100	Smp_329890	hg	19919.0		0.0	1.0	49706.0	53289.0	+	3583	0.0	False	hg	gh
head901	SM_V7_2H012	30853	30953	-	213	100	Smp_320850	olap	0.0		0.4086317824933114	0.0	7336.0	41866.0	+	34530	2.5466717768960514	False	olap	olap
head905	SM_V7_ZWH020	28589	28689	-	2626	100					0.0	1.0						False		
head906	SM_V7_5H008	30770	30870	-	430	100	Smp_312190	hg	8779.0		0.27194458900565555	0.0	39649.0	48022.0	-	8373	1.2775173813314078	True	gh	gh
head908	SM_V7_1H015	31898	31998	+	535	100	Smp_320930	hg	2938.0		0.0	1.0	34936.0	38401.0	+	3465	0.13381802623891145	True	hg	hg
head911	SM_V7_ZWU004	30701	30801	-	824	100	Smp_332230	olap	0.0	0.6681659781865877	1.9675376863192868	2.0	18936.0	36166.0	+	17230	1.1674914083406196	False	olap	olap
head912	SM_V7_ZWH026	30903	31003	-	629	100					0.0	1.0						False		
head915	SM_V7_4H003	31638	31738	-	73	100	Smp_329900	olap	0.0		0.0	1.0	6216.0	60288.0	+	54072	0.15640150248205945	False	olap	olap
head917	SM_V7_5H017	32989	33089	+	949	100	Smp_321490	gh	9959.0	0.3191800703895068	0.5438891780113111	1.0	18636.0	23030.0	+	4394	0.1565585675206155	True	gh	gh
head918	SM_V7_5H002	35238	35338	+	3187	100	Smp_327130	olap	0.0		0.0	0.0	15555.0	56402.0	-	40847	0.2369989214988507	False	olap	olap
head920	SM_V7_U006	32456	32556	+	320	100					0.0	9.0						False		
head921	SM_V7_6H013	31711	31811	-	321	100	Smp_321230	hg	2085.0		0.0	3.0	33896.0	36474.0	+	2578	0.0	False	hg	gh
head922	SM_V7_7H004	32854	32954	+	434	100	Smp_317960	olap	0.0		0.0	0.0	11900.0	52552.0	-	40652	0.11868910714235548	False	olap	olap
head925	SM_V7_ZWH006	32576	32676	+	65	100	Smp_331010	hg	10208.0		0.0	1.0	42884.0	43502.0	-	618	6.8644923919719165	False	gh	hg
head926	SM_V7_4H020	31343	31443	-	1090	100					0.0	5.0						False		
head929	SM_V7_ZWH008	29537	29637	-	3186	100					0.0	1.0						False		
head942	SM_V7_1H030	32466	32566	-	878	100	Smp_307360	gh	7014.0		0.0	0.0	20076.0	25452.0	+	5376	0.46518381660451347	False	gh	hg
head949	SM_V7_ZWH001	32868	32968	-	992	100	Smp_316890	olap	0.0		0.0	1.0	3836.0	61033.0	+	57197	0.12614825947585112	False	olap	olap
head951	SM_V7_2H004	34515	34615	+	316	100	Smp_324960	hg	461.0	0.6734135412742609	0.0	1.0	35076.0	37272.0	-	2196	10.4219497242899	False	gh	hg
head964	SM_V7_W016	34890	34990	-	748	100	Smp_336600	hg	11604.0		0.3068098564629972	1.0	46594.0	46918.0	-	324	0.06505042942169306	True	gh	gh
head968	SM_V7_5H004	39226	39326	+	3191	100					0.0	0.0						False		
head971	SM_V7_5H001	35574	35674	-	475	100	Smp_320990	olap	0.0	0.94117130128295	0.3068098564629972	2.0	4446.0	47168.0	+	42722	0.8538123695806776	False	olap	olap
head977	SM_V7_2H016	33331	33431	-	2890	100					1.430883277912617	1.0						False		
head979	SM_V7_W011	33095	33195	-	3189	100	Smp_308070	hg	25612.0		0.5793352394621382	0.0	58807.0	62862.0	-	4055	0.0	True	gh	gh
head987	SM_V7_5H006	37485	37585	+	216	100					0.6136197129259944	1.0						False		
head992	SM_V7_3H005	38164	38264	+	499	100					0.0	1.0						False		
head1006	SM_V7_W011	38384	38484	-	137	100	Smp_308070	hg	20323.0		0.0	0.0	58807.0	62862.0	-	4055	0.0	True	gh	gh
head1014	SM_V7_7H004	39716	39816	+	513	100	Smp_317960	olap	0.0		0.0	0.0	11900.0	52552.0	-	40652	0.11868910714235548	False	olap	olap
