head_id	seqid	start	end	strand	motherlength	length	neighbor_gene	relative_position	distance	correlation	complement_correlation	transcription	complement_transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_gene_transcription	gene_gene_complement_transcription	same_strand	gene_stream	head_stream
head12	SM_V7_ZW	50022717	50022817	+	3183	100	Smp_074710	olap	0.0		0.5383533098953527	0.0	0.08292898738683273	0.0	50001606.0	50045703.0	+	44097	0.001531348838453366	0.1789797537153741	True	olap	olap
head13	SM_V7_ZW	9141239	9141339	+	3183	100	Smp_343570	gh	3699.0			0.0	0.01184699819811896	0.0	9129146.0	9137540.0	+	8394	0.0015525015508614315	3.5910772236471153	True	gh	gh
head14	SM_V7_ZW	44733661	44733761	-	3183	100	Smp_347230	olap	0.0			0.0	0.0	0.0	44726095.0	44741993.0	+	15898	0.002980751842525843	0.04053822505835146	False	olap	olap
head15	SM_V7_ZW	65666091	65666191	+	3183	100	Smp_244200	olap	0.0	-0.09009694208765323		0.23693996396237926	0.01184699819811896	0.0	65658392.0	65705473.0	-	47081	0.0028434204804219172	0.3014528969509253	False	olap	olap
head16	SM_V7_ZW	50263654	50263754	-	3183	100	Smp_347620	olap	0.0			0.0	0.059234990990594816	0.0	50249648.0	50275452.0	-	25804	0.0007345836737323802	0.028924232153212475	True	olap	olap
head17	SM_V7_ZW	75574442	75574542	-	3186	100	Smp_143870	hg	1285.0			0.0	0.0	0.0	75575827.0	75576296.0	+	469	0.0	0.0	False	hg	gh
head18	SM_V7_ZW	64029637	64029737	-	3186	100	Smp_345350	hg	9606.0			0.0	0.0	0.0	64039343.0	64053184.0	+	13841	0.006077139455721743	0.873652991895096	False	hg	gh
head19	SM_V7_ZW	69054659	69054759	+	3187	100	Smp_075420	gh	4081.0			0.0	0.0	0.0	69039005.0	69050578.0	-	11573	0.017811956160655833	3.615417630356567	False	hg	gh
head20	SM_V7_ZW	82027630	82027730	-	3183	100	Smp_342600	gh	794.0			0.0	0.0	0.0	82026037.0	82026836.0	-	799	0.008896369109976692	14.633044457726662	True	hg	hg
head21	SM_V7_ZW	19563615	19563715	-	3187	100	Smp_241480	hg	27357.0			0.0	0.0	0.0	19591072.0	19605409.0	-	14337	8.26323372959403e-05	0.036606125422101565	True	gh	gh
head22	SM_V7_ZW	69296870	69296970	-	3206	100	Smp_162810	olap	0.0		0.5723684054289734	0.0	0.04738799279247585	0.0	69295833.0	69325700.0	-	29867	0.0004363243050166022	0.0069018571884444345	True	olap	olap
head23	SM_V7_ZW	38303928	38304028	-	3186	100	Smp_159110	gh	4797.0		0.2625038151032374	0.01184699819811896	0.09477598558495168	0.0	38282237.0	38299131.0	+	16894	0.00981756687425509	1.0694836599947457	False	gh	hg
head24	SM_V7_ZW	50935386	50935486	+	3186	100	Smp_157840	olap	0.0			0.0	0.0	0.0	50909031.0	50943930.0	+	34899	0.00016973263128053755	0.0004073583150732902	True	olap	olap
head25	SM_V7_ZW	59897123	59897223	+	3183	100	Smp_212730	olap	0.0	-0.1436542447121036		0.059234990990594816	0.0	0.0	59887869.0	59950893.0	-	63024	0.0009586775007998016	0.4822899732945199	False	olap	olap
head26	SM_V7_ZW	79206973	79207073	-	3186	100	Smp_324200	hg	5148.0			0.0	0.0	0.0	79212221.0	79266732.0	+	54511	0.00019559902365223647	0.0032599837275372762	False	hg	gh
head27	SM_V7_ZW	76582422	76582522	-	3189	100	Smp_139760	gh	1561.0			0.0	0.0	0.0	76534516.0	76580861.0	-	46345	0.00028118886649974883	0.2755906517939811	True	hg	hg
head28	SM_V7_ZW	82462003	82462103	+	3183	100	Smp_345170	olap	0.0			0.0	0.023693996396237926	0.0	82448996.0	82467002.0	-	18006	0.00440824658043969	0.3570679730156148	False	olap	olap
head29	SM_V7_ZW	24842216	24842316	+	3187	100	Smp_153780	hg	12470.0			0.0	0.0	0.0	24854786.0	24929755.0	+	74969	0.0012800048740781338	0.7455475302979292	True	hg	hg
head30	SM_V7_ZW	78496226	78496326	-	3184	100	Smp_146240	olap	0.0	-0.2487331567564096		0.07108198918871378	0.0	0.0	78475339.0	78512572.0	+	37233	0.002895487433268406	0.2961033632307229	False	olap	olap
head31	SM_V7_ZW	82611014	82611114	-	3186	100	Smp_160320	olap	0.0			0.0	0.0	1.0	82601011.0	82646985.0	-	45974	0.001314214356166675	0.006957605415000043	True	olap	olap
head32	SM_V7_ZW	2617298	2617398	-	3183	100	Smp_244820	olap	0.0			0.0	0.023693996396237926	1.0	2580442.0	2644727.0	+	64285	0.01135218307543172	0.03540185663620833	False	olap	olap
head33	SM_V7_ZW	79559807	79559907	+	3190	100	Smp_163670	hg	784.0			0.0	0.04738799279247585	0.0	79560691.0	79587590.0	+	26899	0.0020259560471150317	0.07852781808708915	True	hg	hg
head34	SM_V7_ZW	8758783	8758883	-	3183	100	Smp_188430	olap	0.0	-0.3302390705039151		0.08292898738683273	0.0	0.0	8754220.0	8771839.0	+	17619	0.001815477333272104	0.22558986863436695	False	olap	olap
head35	SM_V7_ZW	83572901	83573001	-	3186	100	Smp_316630	olap	0.0	0.4036632770559572		4.300460345917183	0.023693996396237926	0.0	83561967.0	83581893.0	+	19926	0.0033294785661681318	0.3189164826593903	False	olap	olap
head36	SM_V7_ZW	84386831	84386931	+	3183	100	Smp_136470	olap	0.0		0.3810015273825919	0.0	0.09477598558495168	0.0	84376596.0	84443213.0	+	66617	0.001600537156927971	0.17088401712134305	True	olap	olap
head37	SM_V7_ZW	56422521	56422621	+	3186	100	Smp_336650	olap	0.0			0.01184699819811896	0.0	0.0	56406756.0	56503826.0	-	97070	0.0013791189825769472	0.4150415861990641	False	olap	olap
head38	SM_V7_ZW	47010731	47010831	-	3159	100	Smp_345880	olap	0.0			0.0	0.023693996396237926	0.0	46975844.0	47064169.0	-	88325	0.060036415437056866	0.027644113542398163	True	olap	olap
head39	SM_V7_ZW	20703365	20703465	-	3183	100	Smp_092880	gh	8143.0			0.0	0.0	0.0	20687920.0	20695222.0	-	7302	0.004867295890763747	6.6097878196571695	True	hg	hg
head40	SM_V7_ZW	84092885	84092985	-	3183	100	Smp_204040	gh	12792.0			0.0	0.0	0.0	84079893.0	84080093.0	-	200	0.0	0.0	True	hg	hg
head41	SM_V7_ZW	3495489	3495589	+	3183	100	Smp_015820	olap	0.0			0.0	0.0	0.0	3456939.0	3507926.0	+	50987	0.00018588264770422205	0.0030205930251936087	True	olap	olap
head42	SM_V7_ZW	42620185	42620285	-	3186	100	Smp_323040	gh	7961.0			0.01184699819811896	0.0	0.0	42607735.0	42612224.0	+	4489	0.0007917352326655577	1.4879344139228048	False	gh	hg
head43	SM_V7_ZW	71025665	71025765	-	3183	100	Smp_161110	gh	733.0			0.0	0.0	0.0	70956629.0	71024932.0	-	68303	0.005637050223838869	0.5734180935388092	True	hg	hg
head44	SM_V7_ZW	3862411	3862511	-	3185	100	Smp_244780	hg	11150.0			0.0	0.0	0.0	3873661.0	3905143.0	-	31482	0.00022578612918084545	0.23526914660644094	True	gh	gh
head45	SM_V7_ZW	47748397	47748497	-	3150	100	Smp_093800	gh	894.0			0.0	0.0	0.0	47735062.0	47747503.0	+	12441	0.002380636242689285	0.2924373560519519	False	gh	hg
head46	SM_V7_ZW	81115988	81116088	+	3188	100	Smp_345440	olap	0.0			0.023693996396237926	0.0	0.0	81004534.0	81177179.0	-	172645	0.000555826611861123	0.2279712555462991	False	olap	olap
head47	SM_V7_ZW	49827611	49827711	+	3183	100	Smp_131950	olap	0.0			0.0	0.01184699819811896	0.0	49791102.0	49848092.0	+	56990	0.00209957329006846	0.4709072647516913	True	olap	olap
head48	SM_V7_ZW	46503242	46503342	-	3186	100	Smp_058530	hg	13988.0			0.0	0.0	0.0	46517330.0	46519736.0	-	2406	0.005416333340785892	9.345144588615948	True	gh	gh
head49	SM_V7_ZW	27825283	27825383	+	3108	100	Smp_168050	hg	3537.0			0.0	0.0	0.0	27828920.0	27859340.0	+	30420	0.0021809069661231487	2.120308908278727	True	hg	hg
head50	SM_V7_ZW	84933565	84933665	+	3186	100	Smp_173650	hg	7243.0			0.01184699819811896	0.0	0.0	84940908.0	84959301.0	+	18393	0.011014172195282676	0.5603701643213993	True	hg	hg
head51	SM_V7_ZW	80851242	80851342	-	3184	100	Smp_077400	gh	9400.0			0.0	0.0	0.0	80840188.0	80841842.0	-	1654	0.0408270191833604	25.75182141577817	True	hg	hg
head52	SM_V7_ZW	48268345	48268445	-	3183	100	Smp_323360	gh	7373.0			0.0	0.0	0.0	48260426.0	48260972.0	-	546	0.0	0.0	True	hg	hg
head53	SM_V7_ZW	78721050	78721150	+	3183	100	Smp_096360	olap	0.0			0.03554099459435688	0.0	0.0	78715594.0	78738075.0	-	22481	0.0013174456427782304	0.2775067501948065	False	olap	olap
head54	SM_V7_ZW	78710643	78710743	-	3156	100	Smp_266830	gh	986.0			0.01184699819811896	0.04738799279247585	0.0	78681729.0	78709657.0	+	27928	0.0035208423461897515	0.7251662639531783	False	gh	hg
head55	SM_V7_ZW	87203694	87203794	+	3184	100	Smp_307400	olap	0.0			0.0	0.0	3.0	87175408.0	87212824.0	-	37416	0.0006649213228578637	0.5434623612158271	False	olap	olap
head56	SM_V7_ZW	75313449	75313549	+	3183	100	Smp_039740	gh	4165.0			0.0	0.0	0.0	75298264.0	75309284.0	-	11020	0.006987793855514814	1.473241953784231	False	hg	gh
head57	SM_V7_ZW	25137200	25137300	-	3183	100	Smp_347680	hg	10318.0			0.0	0.023693996396237926	0.0	25147618.0	25166473.0	-	18855	0.0008796498264315326	1.5275119235983563	True	gh	gh
head58	SM_V7_ZW	27545930	27546030	+	3050	100	Smp_139940	olap	0.0			0.0	0.0	0.0	27541284.0	27554526.0	-	13242	0.0003578612958199353	0.0033102169863344025	False	olap	olap
head59	SM_V7_ZW	80986292	80986392	+	3187	100	Smp_243830	olap	0.0			0.0	0.0	0.0	80967860.0	80999419.0	-	31559	0.0003003136524761612	0.006344125908558904	False	olap	olap
head60	SM_V7_ZW	83535356	83535456	+	3186	100	Smp_244130	olap	0.0			0.01184699819811896	0.0	1.0	83527254.0	83562093.0	-	34839	0.019484858829249302	0.2635386665387122	False	olap	olap
head61	SM_V7_ZW	11293973	11294073	-	3187	100	Smp_125930	olap	0.0			0.01184699819811896	0.0	0.0	11270856.0	11302828.0	+	31972	0.005113492278682649	0.09033836359006013	False	olap	olap
head62	SM_V7_ZW	85459259	85459359	-	3186	100	Smp_345640	olap	0.0		0.02432520311722689	0.0	0.059234990990594816	0.0	85450104.0	85477685.0	-	27581	0.000429534759367643	0.004424208021486723	True	olap	olap
head63	SM_V7_ZW	46582410	46582510	-	3187	100	Smp_153690	olap	0.0			0.04738799279247585	0.0	0.0	46529119.0	46620087.0	+	90968	0.0023832563871424785	0.205233537732122	False	olap	olap
head64	SM_V7_ZW	48336946	48337046	+	3187	100	Smp_018160	olap	0.0			0.023693996396237926	0.0	0.0	48298289.0	48367291.0	-	69002	0.0009786367022590373	0.1369748001863614	False	olap	olap
head65	SM_V7_ZW	29536	29636	+	3186	100	Smp_303010	olap	0.0			0.0	0.01184699819811896	0.0	18966.0	59346.0	+	40380	0.003344620590850821	0.07331760400470352	True	olap	olap
head66	SM_V7_ZW	46202013	46202113	+	3186	100	Smp_198730	olap	0.0			0.0	0.0	0.0	46186177.0	46209152.0	+	22975	0.011756759909341124	0.10508893287384742	True	olap	olap
head67	SM_V7_ZW	47918951	47919051	-	3191	100	Smp_241420	olap	0.0			0.0	0.01184699819811896	0.0	47895712.0	47943088.0	+	47376	0.0016004050250751722	0.2093279760141292	False	olap	olap
head68	SM_V7_ZW	55701679	55701779	-	3190	100	Smp_146830	olap	0.0	-0.3094122478424208		0.18955197116990335	0.0	0.0	55692122.0	55719316.0	+	27194	0.002091108014671289	0.513541276603024	False	olap	olap
head69	SM_V7_ZW	55711983	55712083	+	3186	100	Smp_146830	olap	0.0		0.3050440997191723	0.0	0.31986895134921195	0.0	55692122.0	55719316.0	+	27194	0.002091108014671289	0.513541276603024	True	olap	olap
head70	SM_V7_ZW	45786152	45786252	-	3186	100	Smp_153520	olap	0.0			0.16585797477366546	0.0	0.0	45773663.0	45792763.0	+	19100	0.00024810467430615624	0.18421772067232103	False	olap	olap
head71	SM_V7_ZW	62583451	62583551	+	3186	100	Smp_306320	hg	6833.0			0.0	0.0	0.0	62590384.0	62591179.0	-	795	0.0	0.011921507620748641	False	gh	hg
head72	SM_V7_ZW	72997617	72997717	+	3187	100	Smp_347530	olap	0.0		0.5400226532926444	0.0	0.08292898738683273	0.0	72983168.0	73016923.0	+	33755	0.009686776781753321	0.3947010568391226	True	olap	olap
head73	SM_V7_ZW	41887540	41887640	-	3187	100	Smp_333070	olap	0.0			0.0	0.01184699819811896	0.0	41867186.0	41931335.0	-	64149	0.00025855114619661334	0.058783449881701436	True	olap	olap
head74	SM_V7_ZW	39994245	39994345	+	3183	100	Smp_210860	gh	6949.0			0.0	0.0	0.0	39932344.0	39987296.0	+	54952	0.0014013227596406544	0.17057331806579787	True	gh	gh
head75	SM_V7_ZW	42800102	42800202	-	3187	100	Smp_061940	olap	0.0	-0.2398317796814313		2.3930936360200303	0.01184699819811896	0.0	42797044.0	42815830.0	+	18786	0.01343239974555168	4.123179155697933	False	olap	olap
head76	SM_V7_ZW	76176485	76176585	+	3186	100	Smp_032310	olap	0.0		-0.6322633900247763	0.0	1.1254648288213014	0.0	76164057.0	76181521.0	+	17464	0.001492407010757084	1.9033616321737392	True	olap	olap
head77	SM_V7_ZW	71808212	71808312	+	3186	100	Smp_333300	olap	0.0			0.01184699819811896	0.0	0.0	71761471.0	71838486.0	-	77015	0.007845184809505513	0.12026206831512568	False	olap	olap
head78	SM_V7_ZW	3432424	3432524	-	3187	100	Smp_130800	gh	12051.0			0.0	0.0	0.0	3406009.0	3420373.0	+	14364	0.0006598161068292376	1.3565819156409125	False	gh	hg
head79	SM_V7_ZW	3724138	3724238	+	3186	100	Smp_347210	hg	902.0			0.0	0.023693996396237926	0.0	3725140.0	3728577.0	-	3437	0.011719462866920126	1.0802587242625787	False	gh	hg
head80	SM_V7_ZW	83787632	83787732	+	3186	100	Smp_336780	gh	6222.0			0.0	0.0	0.0	83776428.0	83781410.0	+	4982	0.0204504585515502	7.371439123715168	True	gh	gh
head81	SM_V7_ZW	81075071	81075171	-	3186	100	Smp_345440	olap	0.0			0.0	0.023693996396237926	0.0	81004534.0	81177179.0	-	172645	0.000555826611861123	0.2279712555462991	True	olap	olap
head82	SM_V7_ZW	59261880	59261980	-	3189	100	Smp_054330	olap	0.0		0.8475700756226721	0.01184699819811896	0.6989728936890187	0.0	59260446.0	59267092.0	-	6646	0.010873711858038771	1.027298384227499	True	olap	olap
head83	SM_V7_ZW	87757928	87758028	-	3183	100	Smp_180780	hg	87658.0			0.0	0.0	0.0	87845686.0	87867252.0	-	21566	0.0	0.0003296021014036621	True	gh	gh
head84	SM_V7_ZW	14649174	14649274	+	3164	100	Smp_204380	hg	6078.0			0.0	0.0	0.0	14655352.0	14661114.0	-	5762	0.0020560566119609447	3.0246648818557453	False	gh	hg
head85	SM_V7_ZW	84501491	84501591	+	3187	100	Smp_136490	olap	0.0	-0.3310506733227337		0.059234990990594816	0.0	0.0	84493244.0	84511763.0	-	18519	0.0013434146668853512	0.4737775725215672	False	olap	olap
head86	SM_V7_ZW	65973741	65973841	-	3187	100	Smp_306450	gh	9887.0			0.0	0.0	0.0	65906252.0	65963854.0	-	57602	0.0006992776964967269	0.11377659461823217	True	hg	hg
head87	SM_V7_ZW	76282707	76282807	-	3190	100	Smp_306960	olap	0.0			0.0	0.0	0.0	76274402.0	76292920.0	+	18518	0.004414315129442749	0.002750950008203452	False	olap	olap
head88	SM_V7_ZW	56564244	56564344	+	3190	100	Smp_345070	hg	1813.0			0.0	0.023693996396237926	0.0	56566157.0	56586876.0	-	20719	0.00028589695926731413	0.040540188824105136	False	gh	hg
head89	SM_V7_ZW	72936172	72936272	+	2920	100	Smp_344350	hg	19419.0			0.0	0.0	0.0	72955691.0	72975483.0	-	19792	0.000478860072680637	0.37782059734502266	False	gh	hg
head90	SM_V7_ZW	21285901	21286001	-	3187	100	Smp_095290	gh	19150.0			0.0	0.0	0.0	21238897.0	21266751.0	-	27854	0.00034025987500880194	0.03700326140720722	True	hg	hg
head91	SM_V7_ZW	24455080	24455180	+	3186	100	Smp_141860	olap	0.0			0.023693996396237926	0.0	0.0	24414502.0	24502333.0	-	87831	0.0025897731484770077	0.2964211182860975	False	olap	olap
head92	SM_V7_ZW	22285239	22285339	-	3186	100	Smp_104790	gh	20188.0			0.0	0.0	0.0	22243451.0	22265051.0	+	21600	0.004936249249216235	0.1934461233553962	False	gh	hg
head93	SM_V7_ZW	23663523	23663623	-	3193	100	Smp_133530	olap	0.0		-0.7307464716419334	0.0	0.5212679207172343	0.0	23646413.0	23671262.0	-	24849	0.013969054980276292	1.0140198988924791	True	olap	olap
head94	SM_V7_ZW	250338	250438	-	3133	100	Smp_202700	hg	29918.0			0.0	0.0	0.0	280356.0	287696.0	+	7340	0.0650455078180101	0.0006456129808239218	False	hg	gh
head95	SM_V7_ZW	13898044	13898144	+	3187	100	Smp_028690	gh	46302.0			0.0	0.0	0.0	13815386.0	13851742.0	+	36356	0.0013034435249333215	0.3980716525146365	True	gh	gh
head96	SM_V7_ZW	115410	115510	+	3189	100	Smp_321740	hg	46310.0			0.0	0.0	0.0	161820.0	172392.0	-	10572	0.00011206014186642984	0.0029135636885271763	False	gh	hg
head97	SM_V7_ZW	79780020	79780120	-	3190	100	Smp_163720	olap	0.0	-0.5888807593946267		0.2487869621604982	0.0	0.0	79777766.0	79803630.0	+	25864	0.005313376859657437	3.9696421738392416	False	olap	olap
head98	SM_V7_ZW	49142488	49142588	+	3187	100	Smp_132010	hg	10654.0			0.0	0.0	1.0	49153242.0	49160390.0	-	7148	0.0008286932147537048	0.08369801469012418	False	gh	hg
head99	SM_V7_ZW	80185800	80185900	-	3189	100	Smp_163750	olap	0.0		0.1907461001093688	0.0	0.10662298378307064	0.0	80099072.0	80213287.0	-	114215	0.001659606629338558	0.09994980925191466	True	olap	olap
head100	SM_V7_ZW	719155	719255	-	3187	100	Smp_090690	olap	0.0	-0.3107503077677989		0.22509296576426027	0.0	0.0	703596.0	726937.0	+	23341	0.0024870524472294635	0.6867817686420791	False	olap	olap
head101	SM_V7_ZW	70922515	70922615	-	3183	100	Smp_161110	hg	34014.0			0.0	0.0	0.0	70956629.0	71024932.0	-	68303	0.005637050223838869	0.5734180935388092	True	gh	gh
head102	SM_V7_ZW	76884338	76884438	+	3190	100	Smp_161880	hg	20961.0			0.0	0.0	0.0	76905399.0	76906528.0	+	1129	0.002098671071411685	0.024134717321234376	True	hg	hg
head103	SM_V7_ZW	75685878	75685978	-	3189	100	Smp_039810	olap	0.0			0.0	0.0	1.0	75639334.0	75697934.0	+	58600	0.01815461498619595	0.8931949272885561	False	olap	olap
head104	SM_V7_ZW	75689962	75690062	-	3189	100	Smp_039810	olap	0.0			0.0	0.0	1.0	75639334.0	75697934.0	+	58600	0.01815461498619595	0.8931949272885561	False	olap	olap
head105	SM_V7_ZW	56531362	56531462	-	3193	100	Smp_068840	olap	0.0			0.0	0.01184699819811896	0.0	56521405.0	56554856.0	-	33451	0.00428533312000357	0.4624618171984018	True	olap	olap
head106	SM_V7_ZW	78246873	78246973	-	3193	100	Smp_266840	gh	14699.0			0.0	0.0	0.0	78143044.0	78232174.0	+	89130	0.009530234161394924	0.033827679136332056	False	gh	hg
head107	SM_V7_ZW	39163165	39163265	-	3187	100	Smp_165220	hg	5796.0			0.0	0.0	0.0	39169061.0	39180347.0	-	11286	0.00031491223280486337	1.0405749879315371	True	gh	gh
head108	SM_V7_ZW	10486331	10486431	+	3190	100	Smp_179590	gh	3493.0			0.0	0.0	0.0	10422531.0	10482838.0	-	60307	0.0012768913772492952	0.3320899804984513	False	hg	gh
head109	SM_V7_ZW	71385082	71385182	+	3186	100	Smp_095580	hg	9299.0			0.0	0.0	1.0	71394481.0	71419381.0	-	24900	0.002474071912860185	2.078172828496539	False	gh	hg
head110	SM_V7_ZW	38809555	38809655	-	3183	100	Smp_178780	olap	0.0			0.0	0.01184699819811896	0.0	38803992.0	38828987.0	-	24995	0.008863327317656516	0.00469234975640639	True	olap	olap
head111	SM_V7_ZW	38784825	38784925	+	3186	100	Smp_101970	olap	0.0	0.03963960540726688		0.959606854047636	0.0	0.0	38778959.0	38786662.0	-	7703	0.005998090740317272	6.8741195828005335	False	olap	olap
head112	SM_V7_ZW	77971588	77971688	-	3192	100	Smp_061200	gh	6448.0			0.0	0.0	0.0	77964561.0	77965140.0	-	579	0.13299738909805398	105.18661198081169	True	hg	hg
head113	SM_V7_ZW	21553530	21553630	+	3187	100	Smp_246330	gh	3786.0			0.0	0.0	0.0	21495892.0	21549744.0	-	53852	0.0068197456759579575	0.3015207555957411	False	hg	gh
head114	SM_V7_ZW	24041993	24042093	+	2852	100	Smp_134980	olap	0.0		0.06303290305658796	0.0	0.09477598558495168	1.0	24028795.0	24047334.0	+	18539	0.0007668373611167137	0.38194890894954975	True	olap	olap
head115	SM_V7_ZW	8486134	8486234	+	3186	100	Smp_142900	olap	0.0	-0.2542798907660825		0.07108198918871378	0.023693996396237926	0.0	8486177.0	8519085.0	-	32908	0.0016920168813406807	0.02538025322011021	False	olap	olap
head116	SM_V7_ZW	66765128	66765228	-	3184	100	Smp_335170	gh	11783.0			0.0	0.0	0.0	66742883.0	66753345.0	-	10462	0.04518210935814821	0.08821268969924173	True	hg	hg
head117	SM_V7_ZW	54483614	54483714	+	3189	100	Smp_157150	olap	0.0	0.2262399984949924		0.07108198918871378	0.0	1.0	54476944.0	54504079.0	-	27135	0.0017900384231541453	0.5307245627283365	False	olap	olap
head118	SM_V7_ZW	86470478	86470578	-	3193	100	Smp_198890	olap	0.0			0.0	0.0	0.0	86462001.0	86501896.0	+	39895	0.0005048225826996424	0.0778911549659507	False	olap	olap
head119	SM_V7_ZW	11941767	11941867	-	3191	100	Smp_193800	olap	0.0		0.5676772036522358	0.0	0.059234990990594816	0.0	11916226.0	11951750.0	+	35524	0.14737046795824707	0.004468803509030348	False	olap	olap
head120	SM_V7_ZW	15363900	15364000	+	3186	100	Smp_171710	hg	831.0			0.0	0.0	0.0	15364831.0	15401385.0	+	36554	0.003370596412442884	0.4587576174820099	True	hg	hg
head121	SM_V7_ZW	86337990	86338090	+	3209	100	Smp_344310	gh	6821.0			0.0	0.0	0.0	86320439.0	86331169.0	+	10730	0.00011041004844472473	0.04891165146101304	True	gh	gh
head122	SM_V7_ZW	83233426	83233526	+	2918	100	Smp_333370	olap	0.0		0.1521466101657053	0.0	0.10662298378307064	0.0	83146969.0	83282627.0	+	135658	0.0008121679756631112	0.08400262105272546	True	olap	olap
head123	SM_V7_ZW	75445657	75445757	-	3186	100	Smp_143860	gh	21288.0			0.0	0.0	0.0	75393780.0	75424369.0	-	30589	0.17590985588236402	0.06018580273914435	True	hg	hg
head124	SM_V7_ZW	46905469	46905569	-	3193	100	Smp_178410	hg	4164.0			0.0	0.0	0.0	46909733.0	46926269.0	+	16536	0.0029373906998238835	1.1869207737556653	False	hg	gh
head125	SM_V7_ZW	87156974	87157074	+	3189	100	Smp_324430	gh	15569.0			0.0	0.0	0.0	86946996.0	87141405.0	-	194409	0.0008104824161174751	0.00026203566836880765	False	hg	gh
head126	SM_V7_ZW	31795232	31795332	+	3186	100	Smp_043500	gh	4842.0			0.0	0.0	0.0	31762660.0	31790390.0	-	27730	0.001922520443257675	1.3830612068795711	False	hg	gh
head127	SM_V7_ZW	11951647	11951747	-	3054	100	Smp_193800	olap	0.0		0.10870856051304642	0.0	2.464175625208744	0.0	11916226.0	11951750.0	+	35524	0.14737046795824707	0.004468803509030348	False	olap	olap
head128	SM_V7_ZW	55799679	55799779	-	2805	100	Smp_203720	gh	912.0			0.0	0.0	4.0	55786649.0	55798767.0	-	12118	0.0033239638449912914	0.013393619022464907	True	hg	hg
head129	SM_V7_ZW	58672780	58672880	+	2998	100	Smp_020550	olap	0.0	0.08984356158173012		0.07108198918871378	0.0	0.0	58668124.0	58735655.0	-	67531	0.0047892530957434	1.2155405045822876	False	olap	olap
head131	SM_V7_ZW	58599947	58600047	+	2959	100	Smp_198980	gh	30329.0			0.0	0.0	0.0	58540139.0	58569618.0	+	29479	0.0042599199735425565	0.7432756595346185	True	gh	gh
head132	SM_V7_ZW	29101338	29101438	+	3187	100	Smp_243150	gh	4833.0			0.0	0.0	0.0	28965302.0	29096505.0	-	131203	0.0005056529950493981	0.18608030217817853	False	hg	gh
head133	SM_V7_ZW	7165575	7165675	-	2626	100	Smp_334990	hg	26075.0			0.0	0.0	1.0	7191750.0	7209906.0	-	18156	0.003980319949797625	0.13604864090701718	True	gh	gh
head134	SM_V7_ZW	37289121	37289221	-	3192	100	Smp_305110	hg	3221.0			0.0	0.0	3.0	37292442.0	37294792.0	+	2350	0.0005041275828986792	0.0	False	hg	gh
