	seqid	start	end	strand	length	motherlength	neighbor_gene	flag	distance	correlation	transcription	repetitions	gene_start	gene_end	gene_strand	gene_length	gene_transcription	same_strand
head10191	SM_V7_2	11973809	11973909	-	100	3186	Smp_310510	olap	0.0		0.5438891780113111	0.0	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head10194	SM_V7_6	11990329	11990429	-	100	462	Smp_141980	olap	0.0	0.793656352695	13.45796334372032	0.0	11941706.0	12003622.0	+	61916	5.13963768551409	False
head10197	SM_V7_7	11994524	11994624	+	100	744	Smp_144850	olap	0.0	0.48333800422	7.023844569069928	0.0	11986114.0	12030952.0	-	44838	6.196211896394332	False
head10202	SM_V7_2	11999318	11999418	-	100	723	Smp_310510	olap	0.0		0.27194458900565555	0.0	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head10209	SM_V7_1	12008305	12008405	+	100	1158	Smp_003600	esq	3223.0		0.0	1.0	12001047.0	12005082.0	-	4035	0.19846306556891627	False
head10210	SM_V7_5	12010464	12010564	+	100	363	Smp_153410	dir	1862.0		0.0	0.0	12012426.0	12033886.0	+	21460	29.452157470148066	True
head10216	SM_V7_1	12021920	12022020	+	100	1158	Smp_188200	esq	2248.0		0.0	1.0	12013168.0	12019672.0	-	6504	0.14825918973982738	False
head10223	SM_V7_3	12045282	12045382	+	100	3186	Smp_341350	dir	6726.0		0.0	1.0	12052108.0	12074212.0	-	22104	0.2078121617281068	False
head10225	SM_V7_5	12046151	12046251	+	100	3190	Smp_153410	esq	12265.0		0.27194458900565555	0.0	12012426.0	12033886.0	+	21460	29.452157470148066	True
head1023	SM_V7_3H008	40117	40217	+	100	292	Smp_309180	esq	1865.0		0.0		21412.0	38252.0	-	16840	0.03716724188563702	False
head10231	SM_V7_6	12053913	12054013	-	100	726	Smp_141960	olap	0.0	0.046862191388999996	14.436992192263629	0.0	12043657.0	12062472.0	+	18815	3.7588563859823774	False
head10232	SM_V7_7	12055535	12055635	+	100	247	Smp_144860	dir	1021.0		1.2272394258519888	0.0	12056656.0	12065730.0	+	9074	0.9918968839775546	True
head10240	SM_V7_5	12058163	12058263	-	100	471	Smp_153410	esq	24277.0		0.0	0.0	12012426.0	12033886.0	+	21460	29.452157470148066	False
head10245	SM_V7_7	12068601	12068701	-	100	668	Smp_144860	esq	2871.0		0.8512798284677937	0.0	12056656.0	12065730.0	+	9074	0.9918968839775546	False
head10249	SM_V7_5	12072933	12073033	-	100	200	Smp_153410	esq	39047.0		0.0	0.0	12012426.0	12033886.0	+	21460	29.452157470148066	False
head1025	SM_V7_ZWH004	40077	40177	+	100	168	Smp_329890	dir	9529.0		0.0	5.0	49706.0	53289.0	+	3583	0.0	True
head10258	SM_V7_1	12083340	12083440	-	100	311	Smp_124100	olap	0.0		0.27194458900565555	0.0	12045484.0	12096458.0	+	50974	7.4659283888565	False
head1026	SM_V7_5H007	40199	40299	+	100	205	Smp_328880	esq	19956.0		0.0	8.0	15856.0	20243.0	+	4387	0.027911227479149266	True
head10261	SM_V7_6	12088278	12088378	+	100	521	Smp_333850	olap	0.0	0.28278995258699996	2.546591371085562		12081276.0	12093685.0	+	12409	1.7771773855268487	True
head10275	SM_V7_ZW	12098448	12098548	+	100	308	Smp_174300	dir	76093.0		0.0	1.0	12174641.0	12180692.0	-	6051	5.303901176219711	False
head10279	SM_V7_3	12109881	12109981	+	100	3183	Smp_307960	olap	0.0	0.43867459086099997	3.5406449193718594	0.0	12092796.0	12170900.0	+	78104	4.867486950795923	True
head1028	SM_V7_4H001	39724	39824	-	100	412	Smp_325340	esq	2623.0		0.0	1.0	23853.0	37101.0	+	13248	1.1901844498284602	False
head10281	SM_V7_ZW	12111752	12111852	-	100	308	Smp_174300	dir	62789.0		0.0	1.0	12174641.0	12180692.0	-	6051	5.303901176219711	True
head10282	SM_V7_3	12115047	12115147	-	100	221	Smp_307960	olap	0.0		1.2553183813787503	0.0	12092796.0	12170900.0	+	78104	4.867486950795923	False
head10288	SM_V7_5	12120959	12121059	+	100	582	Smp_058080	olap	0.0		1.1586704789242763	0.0	12115096.0	12142882.0	-	27786	0.394795508473915	False
head10290	SM_V7_3	12121353	12121453	-	100	544	Smp_307960	olap	0.0		0.0	0.0	12092796.0	12170900.0	+	78104	4.867486950795923	False
head10293	SM_V7_2	12123224	12123324	-	100	116	Smp_310520	olap	0.0		3.659681617444676	0.0	12063016.0	12133731.0	+	70715	1.74329112116896	False
head10307	SM_V7_ZW	12153812	12153912	-	100	851	Smp_174300	dir	20729.0		0.0	0.0	12174641.0	12180692.0	-	6051	5.303901176219711	True
head10312	SM_V7_5	12161823	12161923	-	100	297	Smp_058080	esq	18941.0		0.0	0.0	12115096.0	12142882.0	-	27786	0.394795508473915	True
head10313	SM_V7_4	12165814	12165914	+	100	185	Smp_345990	dir	3182.0		0.5175732477892827	0.0	12169096.0	12171891.0	+	2795	0.5113088836989624	True
head10314	SM_V7_5	12165482	12165582	-	100	239	Smp_058080	esq	22600.0		0.0	0.0	12115096.0	12142882.0	-	27786	0.394795508473915	True
head10322	SM_V7_3	12174132	12174232	-	100	613	Smp_307960	esq	3232.0		2.069750096839765	0.0	12092796.0	12170900.0	+	78104	4.867486950795923	False
head10326	SM_V7_1	12182593	12182693	-	100	346	Smp_124080	dir	15843.0		0.3068098564629972	0.0	12198536.0	12216834.0	+	18298	0.2373676139754591	False
head1033	SM_V7_1H008	40818	40918	-	100	187					0.0	1.0						False
head10340	SM_V7_4	12210476	12210576	+	100	401	Smp_170790	olap	0.0		2.0947389131035954	0.0	12195482.0	12219842.0	-	24360	0.6640892970777977	False
head10350	SM_V7_4	12225397	12225497	-	100	363	Smp_170790	esq	5555.0		0.0	0.0	12195482.0	12219842.0	-	24360	0.6640892970777977	True
head10358	SM_V7_3	12239669	12239769	+	100	343	Smp_121920	olap	0.0		0.3068098564629972	0.0	12198742.0	12240082.0	-	41340	1.2548741475378733	False
head10363	SM_V7_5	12253544	12253644	+	100	3184	Smp_153440	olap	0.0		0.0	0.0	12231117.0	12277516.0	-	46399	1.0206094939224024	False
head10366	SM_V7_7	12257053	12257153	+	100	607	Smp_196160	olap	0.0	-0.574545419963	13.01891004739466	0.0	12234547.0	12262566.0	+	28019	20.831231221017237	True
head10368	SM_V7_ZW	12257859	12257959	+	100	1026	Smp_304090	olap	0.0	0.7748698068050001	5.403573458605943	0.0	12191513.0	12297668.0	-	106155	2.943914727744469	False
head10376	SM_V7_5	12264438	12264538	-	100	854	Smp_153440	olap	0.0		0.6136197129259944	0.0	12231117.0	12277516.0	-	46399	1.0206094939224024	True
head10379	SM_V7_1	12267246	12267346	-	100	272	Smp_124070	dir	8452.0		0.0	0.0	12275798.0	12301652.0	+	25854	1.4957357658920178	False
head1038	SM_V7_1H008	43063	43163	+	100	1334					0.0	1.0						False
head10396	SM_V7_7	12288972	12289072	+	100	298	Smp_134580	dir	16509.0		1.762940240376768	0.0	12305581.0	12318553.0	-	12972	18.004394186888334	False
head10398	SM_V7_7	12289503	12289603	-	100	518	Smp_134580	dir	15978.0		0.3068098564629972	0.0	12305581.0	12318553.0	-	12972	18.004394186888334	True
head10401	SM_V7_6	12296734	12296834	+	100	283	Smp_214000	esq	7503.0		1.7383651735616414	0.0	12208439.0	12289231.0	+	80792	5.303769047878013	True
head10412	SM_V7_6	12313455	12313555	+	100	569	Smp_214000	esq	24224.0		0.0	0.0	12208439.0	12289231.0	+	80792	5.303769047878013	True
head10423	SM_V7_5	12325762	12325862	+	100	315	Smp_153440	esq	48246.0		0.0	0.0	12231117.0	12277516.0	-	46399	1.0206094939224024	False
head10424	SM_V7_2	12326859	12326959	+	100	949	Smp_128190	olap	0.0	0.48406169461099996	3.2426609401406656	0.0	12284723.0	12330141.0	+	45418	0.7963699973251985	True
head10426	SM_V7_7	12329139	12329239	-	100	711	Smp_134580	esq	10586.0		0.3068098564629972	0.0	12305581.0	12318553.0	-	12972	18.004394186888334	True
head10428	SM_V7_6	12331455	12331555	-	100	423	Smp_141940	dir	23434.0		0.3068098564629972	0.0	12354989.0	12360820.0	+	5831	4.627505304100764	False
head10431	SM_V7_3	12339185	12339285	+	100	224	Smp_194720	olap	0.0		0.0	0.0	12316361.0	12354807.0	-	38446	6.480001986337482	False
head10432	SM_V7_4	12344997	12345097	+	100	779	Smp_170810	olap	0.0		0.8861450959251354	0.0	12320807.0	12387150.0	-	66343	0.9761923305631436	False
head10438	SM_V7_5	12349508	12349608	+	100	906	Smp_058130	dir	39283.0		0.0	0.0	12388891.0	12402786.0	-	13895	15.480791787006758	False
head10449	SM_V7_5	12368703	12368803	+	100	426	Smp_058130	dir	20088.0		0.27194458900565555	0.0	12388891.0	12402786.0	-	13895	15.480791787006758	False
head1045	SM_V7_5H010	41672	41772	-	100	324	Smp_331040	olap	0.0		0.0	1.0	21306.0	56925.0	+	35619	0.2932466065929606	False
head10453	SM_V7_4	12371251	12371351	+	100	999	Smp_170810	olap	0.0		0.3068098564629972	0.0	12320807.0	12387150.0	-	66343	0.9761923305631436	False
head10457	SM_V7_4	12377211	12377311	+	100	64	Smp_170810	olap	0.0		0.0	0.0	12320807.0	12387150.0	-	66343	0.9761923305631436	False
head1046	SM_V7_ZWU005	42176	42276	+	100	78	Smp_327830	esq	3056.0		0.0	1.0	38296.0	39120.0	+	824	0.45244578998536533	True
head10461	SM_V7_3	12381036	12381136	+	100	160	Smp_194710	olap	0.0	0.523955503457	3.4141821035297104	0.0	12372936.0	12436896.0	-	63960	4.016994138748851	False
head10465	SM_V7_1	12386818	12386918	-	100	95	Smp_124050	olap	0.0		0.0	0.0	12354088.0	12422037.0	+	67949	7.133420691362147	False
head10469	SM_V7_6	12390453	12390553	-	100	711	Smp_141930	esq	58.0		0.0	0.0	12385777.0	12390395.0	-	4618	0.7507040031640118	True
head1047	SM_V7_W011	45325	45425	+	100	3186	Smp_308070	dir	13382.0		0.0	1.0	58807.0	62862.0	-	4055	0.0	False
head10470	SM_V7_1	12390921	12391021	-	100	911	Smp_124050	olap	0.0		0.3068098564629972	0.0	12354088.0	12422037.0	+	67949	7.133420691362147	False
head10473	SM_V7_3	12391676	12391776	-	100	644	Smp_194710	olap	0.0		0.27194458900565555	0.0	12372936.0	12436896.0	-	63960	4.016994138748851	True
head10475	SM_V7_4	12393415	12393515	-	100	2246	Smp_089200	dir	10859.0		0.0	0.0	12404374.0	12429342.0	+	24968	2.1545664016087045	False
head10481	SM_V7_2	12409928	12410028	-	100	210	Smp_011220	olap	0.0		5.21090182272909	0.0	12398763.0	12435579.0	+	36816	7.080182987161288	False
head10482	SM_V7_6	12412110	12412210	-	100	111	Smp_141930	esq	21715.0		0.0	0.0	12385777.0	12390395.0	-	4618	0.7507040031640118	True
head10484	SM_V7_1	12412969	12413069	-	100	509	Smp_124050	olap	0.0		1.7301490636614054	0.0	12354088.0	12422037.0	+	67949	7.133420691362147	False
head10487	SM_V7_6	12423565	12423665	-	100	260	Smp_141930	esq	33170.0		0.3068098564629972	0.0	12385777.0	12390395.0	-	4618	0.7507040031640118	True
head105	SM_V7_7H009	3465	3565	+	100	432					0.0	1.0						False
head10506	SM_V7_3	12455450	12455550	+	100	1153	Smp_194710	esq	18554.0		0.3068098564629972	0.0	12372936.0	12436896.0	-	63960	4.016994138748851	False
head10509	SM_V7_4	12463312	12463412	+	100	220	Smp_089220	dir	5805.0	0.975267041901	6.1960071603551725	0.0	12469217.0	12488260.0	-	19043	9.9458575836551	False
head10516	SM_V7_6	12473003	12473103	+	100	998	Smp_068510	olap	0.0		0.6423707076387833	0.0	12458102.0	12517638.0	+	59536	2.1418451934849996	True
head10517	SM_V7_5	12475804	12475904	+	100	414	Smp_085540	olap	0.0	0.00744345551708	7.82081021668716	0.0	12470694.0	12520826.0	-	50132	36.66768243036386	False
head10518	SM_V7_6	12476656	12476756	+	100	396	Smp_068510	olap	0.0		1.2559904205647778	0.0	12458102.0	12517638.0	+	59536	2.1418451934849996	True
head10522	SM_V7_3	12479686	12479786	-	100	309	Smp_194700	dir	31747.0		0.3068098564629972	0.0	12511533.0	12542679.0	+	31146	0.3035929617914811	False
head10523	SM_V7_6	12480377	12480477	-	100	305	Smp_068510	olap	0.0		3.1831025434811275	0.0	12458102.0	12517638.0	+	59536	2.1418451934849996	False
head10524	SM_V7_1	12480637	12480737	-	100	265	Smp_342000	esq	19903.0		0.0	0.0	12458616.0	12460734.0	-	2118	2.2967031920214445	True
head10527	SM_V7_7	12482719	12482819	-	100	339	Smp_300920	esq	15874.0	0.024231596378900003	4.8528399954801555	0.0	12443947.0	12466845.0	+	22898	72.72123942393397	False
head10528	SM_V7_3	12486385	12486485	+	100	222	Smp_194700	dir	25048.0		0.5793352394621382	0.0	12511533.0	12542679.0	+	31146	0.3035929617914811	True
head1053	SM_V7_ZWH010	43344	43444	+	100	801	Smp_318770	dir	692.0		11.549409887739497	1.0	44136.0	45010.0	+	874	0.20922546833968855	True
head10534	SM_V7_5	12489331	12489431	+	100	129	Smp_085540	olap	0.0	-0.257498411606	2.9125423225234046	0.0	12470694.0	12520826.0	-	50132	36.66768243036386	False
head10535	SM_V7_3	12491863	12491963	-	100	98	Smp_194700	dir	19570.0		1.225895347479934	0.0	12511533.0	12542679.0	+	31146	0.3035929617914811	False
head10544	SM_V7_3	12511967	12512067	-	100	865	Smp_194700	olap	0.0		0.0	0.0	12511533.0	12542679.0	+	31146	0.3035929617914811	False
head10547	SM_V7_2	12514863	12514963	-	100	434	Smp_245570	olap	0.0		0.0	0.0	12500243.0	12522627.0	+	22384	0.0684627153636622	False
head10557	SM_V7_3	12529211	12529311	-	100	312	Smp_194700	olap	0.0		0.0	0.0	12511533.0	12542679.0	+	31146	0.3035929617914811	False
head1056	SM_V7_U003	43455	43555	+	100	547	Smp_331960	dir	369.0		0.6136197129259944	1.0	43924.0	57912.0	-	13988	0.6795036177572588	False
head10565	SM_V7_7	12545915	12546015	+	100	669	Smp_134540	esq	2970.0		0.0	1.0	12530607.0	12542945.0	+	12338	2.8575103464881195	True
head10568	SM_V7_4	12545536	12545636	-	100	3158	Smp_089240	esq	13676.0		0.0	0.0	12499192.0	12531860.0	-	32668	4.302498738606207	True
head10570	SM_V7_7	12551302	12551402	+	100	223	Smp_134540	esq	8357.0		0.0	1.0	12530607.0	12542945.0	+	12338	2.8575103464881195	True
head10572	SM_V7_7	12552887	12552987	+	100	278	Smp_134540	esq	9942.0		0.0	1.0	12530607.0	12542945.0	+	12338	2.8575103464881195	True
head10573	SM_V7_1	12560292	12560392	+	100	3181	Smp_124030	esq	13968.0		0.0	1.0	12532540.0	12546324.0	-	13784	13.486500409293399	False
head10580	SM_V7_1	12577267	12577367	+	100	3181	Smp_124020	dir	4471.0		0.0	1.0	12581838.0	12586702.0	+	4864	17.055175395861806	True
head10588	SM_V7_7	12585824	12585924	-	100	551	Smp_134530	olap	0.0		0.0	1.0	12568427.0	12636210.0	+	67783	0.6026548223294237	False
head10599	SM_V7_6	12608989	12609089	+	100	295	Smp_345050	dir	2131.0		0.27194458900565555	0.0	12611220.0	12617205.0	-	5985	5.3776558371198515	False
head10600	SM_V7_2	12610019	12610119	-	100	176	Smp_128120	olap	0.0		3.3960083621207184	0.0	12595321.0	12634101.0	+	38780	29.522619346017194	False
head10603	SM_V7_6	12615788	12615888	+	100	176	Smp_345050	olap	0.0		0.0	1.0	12611220.0	12617205.0	-	5985	5.3776558371198515	False
head10607	SM_V7_6	12624796	12624896	-	100	176	Smp_159290	esq	172.0		0.0	1.0	12622965.0	12624624.0	+	1659	0.03698732446811298	False
head10616	SM_V7_6	12639623	12639723	+	100	223	Smp_193680	dir	3295.0		1.1586704789242763	1.0	12643018.0	12644685.0	-	1667	0.4536490258971771	False
head10617	SM_V7_6	12639913	12640013	-	100	127	Smp_193680	dir	3005.0		0.0	1.0	12643018.0	12644685.0	-	1667	0.4536490258971771	True
head1062	SM_V7_2	41337	41437	-	100	1677	Smp_118780	esq	7757.0		0.0	0.0	16526.0	33580.0	+	17054	4.443997630213805	False
head10620	SM_V7_2	12652955	12653055	-	100	114	Smp_128110	olap	0.0		4.014584968859352	0.0	12646413.0	12663887.0	+	17474	0.8744504307405035	False
head10623	SM_V7_1	12657653	12657753	-	100	150	Smp_124010	esq	16949.0		0.0	0.0	12615916.0	12640704.0	-	24788	0.3037210244427859	True
head10627	SM_V7_6	12661619	12661719	+	100	154	Smp_002630	dir	12790.0		0.0	0.0	12674509.0	12676449.0	+	1940	0.08410657391927492	True
head10630	SM_V7_1	12665100	12665200	-	100	223	Smp_124010	esq	24396.0		0.0	0.0	12615916.0	12640704.0	-	24788	0.3037210244427859	True
head10634	SM_V7_1	12669086	12669186	+	100	180	Smp_124010	esq	28382.0		0.3068098564629972	0.0	12615916.0	12640704.0	-	24788	0.3037210244427859	False
head10639	SM_V7_1	12672492	12672592	-	100	457	Smp_124000	dir	26744.0		0.3068098564629972	0.0	12699336.0	12723152.0	+	23816	39.929365795073025	False
head10640	SM_V7_6	12674184	12674284	+	100	303	Smp_002630	dir	225.0		0.0	0.0	12674509.0	12676449.0	+	1940	0.08410657391927492	True
head10646	SM_V7_1	12678921	12679021	-	100	198	Smp_124000	dir	20315.0		0.0	0.0	12699336.0	12723152.0	+	23816	39.929365795073025	False
head10647	SM_V7_6	12680815	12680915	+	100	223	Smp_123550	dir	1544.0		0.3068098564629972	1.0	12682459.0	12685733.0	+	3274	0.45788076196847693	True
head10649	SM_V7_6	12681086	12681186	-	100	156	Smp_123550	dir	1273.0		0.0	0.0	12682459.0	12685733.0	+	3274	0.45788076196847693	False
head10653	SM_V7_7	12689507	12689607	+	100	521	Smp_134500	olap	0.0	0.538118276756	10.140910056757166	0.0	12665797.0	12711172.0	-	45375	0.9415097775034541	False
head10654	SM_V7_3	12689649	12689749	+	100	437	Smp_121780	esq	1140.0	0.0085143636445	37.03120084134091	0.0	12626854.0	12688509.0	-	61655	6.779631687215197	False
head10656	SM_V7_2	12687379	12687479	-	100	1754	Smp_011120	esq	2052.0		0.8158337670169666	0.0	12672773.0	12685327.0	+	12554	39.628094461622275	False
head10663	SM_V7_2	12700323	12700423	-	100	3187	Smp_335960	olap	0.0		0.0	0.0	12692213.0	12730202.0	+	37989	0.5078026452750604	False
head10668	SM_V7_6	12710087	12710187	+	100	895	Smp_345060	dir	4742.0		0.6136197129259944	0.0	12714929.0	12720390.0	+	5461	1.371187077146442	True
head10677	SM_V7_ZW	12715221	12715321	+	100	3200	Smp_345900	olap	0.0		0.0	0.0	12700192.0	12734206.0	+	34014	0.3064464059561002	True
head10682	SM_V7_1	12717720	12717820	+	100	207	Smp_124000	olap	0.0	0.7620411948270001	34.7321784696009	0.0	12699336.0	12723152.0	+	23816	39.929365795073025	True
