	seqid	start	end	strand	motherlength	length	neighbor_gene	flag	distance	correlation	transcription	gene_start	gene_end	gene_strand	gene_length	gene_transcription	same_strand
head10194	SM_V7_6	11989429	11990429	-	462	1000	Smp_141980	olap	0.0	0.6082462468836598	10.617608752334817	11941706.0	12003622.0	+	61916	5.13963768551409	False
head10197	SM_V7_7	11994524	11995524	+	744	1000	Smp_144850	olap	0.0	0.9075140026491	2.266680666807506	11986114.0	12030952.0	-	44838	6.196211896394332	False
head10202	SM_V7_2	11998418	11999418	-	723	1000	Smp_310510	olap	0.0		0.08158337670169667	11884566.0	12043925.0	+	159359	0.3392654677354109	False
head10209	SM_V7_1	12008305	12009305	+	1158	1000	Smp_003600	esq	3223.0		0.0	12001047.0	12005082.0	-	4035	0.19846306556891627	False
head10210	SM_V7_5	12010464	12011464	+	363	1000	Smp_153410	dir	962.0		0.0	12012426.0	12033886.0	+	21460	29.452157470148066	True
head10216	SM_V7_1	12021920	12022920	+	1158	1000	Smp_188200	esq	2248.0		0.0	12013168.0	12019672.0	-	6504	0.14825918973982738	False
head10223	SM_V7_3	12045282	12046282	+	3186	1000	Smp_341350	dir	5826.0		0.0	12052108.0	12074212.0	-	22104	0.2078121617281068	False
head10225	SM_V7_5	12046151	12047151	+	3190	1000	Smp_153410	esq	12265.0	0.11191704161351892	1.0667100033113803	12012426.0	12033886.0	+	21460	29.452157470148066	True
head1023	SM_V7_3H008	40117	41117	+	292	1000	Smp_309180	esq	1865.0		0.0	21412.0	38252.0	-	16840	0.03716724188563702	False
head10231	SM_V7_6	12053013	12054013	-	726	1000	Smp_141960	olap	0.0	0.04272929281970732	6.37146105500991	12043657.0	12062472.0	+	18815	3.7588563859823774	False
head10232	SM_V7_7	12055535	12056535	+	247	1000	Smp_144860	dir	121.0		0.2863110634197289	12056656.0	12065730.0	+	9074	0.9918968839775546	True
head10240	SM_V7_5	12057263	12058263	-	471	1000	Smp_153410	esq	23377.0		0.22986410549015476	12012426.0	12033886.0	+	21460	29.452157470148066	False
head10245	SM_V7_7	12067701	12068701	-	668	1000	Smp_144860	esq	1971.0		0.1736844130399444	12056656.0	12065730.0	+	9074	0.9918968839775546	False
head10249	SM_V7_5	12072033	12073033	-	200	1000	Smp_153410	esq	38147.0		0.0	12012426.0	12033886.0	+	21460	29.452157470148066	False
head1025	SM_V7_ZWH004	40077	41077	+	168	1000	Smp_329890	dir	8629.0		0.0	49706.0	53289.0	+	3583	0.0	True
head10258	SM_V7_1	12082440	12083440	-	311	1000	Smp_124100	olap	0.0		0.6222571883871177	12045484.0	12096458.0	+	50974	7.4659283888565	False
head1026	SM_V7_5H007	40199	41199	+	205	1000	Smp_328880	esq	19956.0		0.0	15856.0	20243.0	+	4387	0.027911227479149266	True
head10261	SM_V7_6	12088278	12089278	+	521	1000	Smp_333850	olap	0.0	0.3085195595651853	0.6710719407280141	12081276.0	12093685.0	+	12409	1.7771773855268487	True
head10275	SM_V7_ZW	12098448	12099448	+	308	1000	Smp_174300	dir	75193.0		0.0	12174641.0	12180692.0	-	6051	5.303901176219711	False
head10279	SM_V7_3	12109881	12110881	+	3183	1000	Smp_307960	olap	0.0	0.6346962850760023	1.7996791901663154	12092796.0	12170900.0	+	78104	4.867486950795923	True
head1028	SM_V7_4H001	38824	39824	-	412	1000	Smp_325340	esq	1723.0		0.04086317824933114	23853.0	37101.0	+	13248	1.1901844498284602	False
head10281	SM_V7_ZW	12110852	12111852	-	308	1000	Smp_174300	dir	62789.0		0.0	12174641.0	12180692.0	-	6051	5.303901176219711	True
head10282	SM_V7_3	12114147	12115147	-	221	1000	Smp_307960	olap	0.0	0.2697294489719824	11.294689800292375	12092796.0	12170900.0	+	78104	4.867486950795923	False
head10288	SM_V7_5	12120959	12121959	+	582	1000	Smp_058080	olap	0.0	-0.16341232483999554	0.49461741909581447	12115096.0	12142882.0	-	27786	0.394795508473915	False
head10290	SM_V7_3	12120453	12121453	-	544	1000	Smp_307960	olap	0.0	0.9462735005795112	6.515165656187554	12092796.0	12170900.0	+	78104	4.867486950795923	False
head10293	SM_V7_2	12122324	12123324	-	116	1000	Smp_310520	olap	0.0	0.6009473637217503	1.1082323037191204	12063016.0	12133731.0	+	70715	1.74329112116896	False
head10307	SM_V7_ZW	12152912	12153912	-	851	1000	Smp_174300	dir	20729.0		0.0	12174641.0	12180692.0	-	6051	5.303901176219711	True
head10312	SM_V7_5	12160923	12161923	-	297	1000	Smp_058080	esq	18041.0		0.35258804807535365	12115096.0	12142882.0	-	27786	0.394795508473915	True
head10313	SM_V7_4	12165814	12166814	+	185	1000	Smp_345990	dir	2282.0		0.16487662085045598	12169096.0	12171891.0	+	2795	0.5113088836989624	True
head10314	SM_V7_5	12164582	12165582	-	239	1000	Smp_058080	esq	21700.0		0.1772290191850271	12115096.0	12142882.0	-	27786	0.394795508473915	True
head10322	SM_V7_3	12173232	12174232	-	613	1000	Smp_307960	esq	2332.0	-0.17261588711567374	1.286500754555494	12092796.0	12170900.0	+	78104	4.867486950795923	False
head10326	SM_V7_1	12181693	12182693	-	346	1000	Smp_124080	dir	15843.0		0.03068098564629972	12198536.0	12216834.0	+	18298	0.2373676139754591	False
head1033	SM_V7_1H008	39918	40918	-	187	1000					0.02719445890056556						False
head10340	SM_V7_4	12210476	12211476	+	401	1000	Smp_170790	olap	0.0		0.4263554024045821	12195482.0	12219842.0	-	24360	0.6640892970777977	False
head10350	SM_V7_4	12224497	12225497	-	363	1000	Smp_170790	esq	4655.0		0.0	12195482.0	12219842.0	-	24360	0.6640892970777977	True
head10358	SM_V7_3	12239669	12240669	+	343	1000	Smp_121920	olap	0.0	0.6214186374565175	1.3793106848061147	12198742.0	12240082.0	-	41340	1.2548741475378733	False
head10363	SM_V7_5	12253544	12254544	+	3184	1000	Smp_153440	olap	0.0		0.14985119756716173	12231117.0	12277516.0	-	46399	1.0206094939224024	False
head10366	SM_V7_7	12257053	12258053	+	607	1000	Smp_196160	olap	0.0	-0.6160992272285467	4.260834608995114	12234547.0	12262566.0	+	28019	20.831231221017237	True
head10368	SM_V7_ZW	12257859	12258859	+	1026	1000	Smp_304090	olap	0.0	0.8715327281317133	4.606048258011557	12191513.0	12297668.0	-	106155	2.943914727744469	False
head10376	SM_V7_5	12263538	12264538	-	854	1000	Smp_153440	olap	0.0	0.011800889973860577	0.5699585369000496	12231117.0	12277516.0	-	46399	1.0206094939224024	True
head10379	SM_V7_1	12266346	12267346	-	272	1000	Smp_124070	dir	8452.0		0.0	12275798.0	12301652.0	+	25854	1.4957357658920178	False
head1038	SM_V7_1H008	43063	44063	+	1334	1000					0.0						False
head10396	SM_V7_7	12288972	12289972	+	298	1000	Smp_134580	dir	15609.0		0.30189306609415456	12305581.0	12318553.0	-	12972	18.004394186888334	False
head10398	SM_V7_7	12288603	12289603	-	518	1000	Smp_134580	dir	15978.0		0.20697500968397653	12305581.0	12318553.0	-	12972	18.004394186888334	True
head10401	SM_V7_6	12296734	12297734	+	283	1000	Smp_214000	esq	7503.0	-0.15656519315952366	0.5807462793140462	12208439.0	12289231.0	+	80792	5.303769047878013	True
head10412	SM_V7_6	12313455	12314455	+	569	1000	Smp_214000	esq	24224.0		0.09204295693889916	12208439.0	12289231.0	+	80792	5.303769047878013	True
head10423	SM_V7_5	12325762	12326762	+	315	1000	Smp_153440	esq	48246.0		0.2841427419560789	12231117.0	12277516.0	-	46399	1.0206094939224024	False
head10424	SM_V7_2	12326859	12327859	+	949	1000	Smp_128190	olap	0.0	0.7744428482940215	0.6560348839953766	12284723.0	12330141.0	+	45418	0.7963699973251985	True
head10426	SM_V7_7	12328239	12329239	-	711	1000	Smp_134580	esq	9686.0		0.09204295693889916	12305581.0	12318553.0	-	12972	18.004394186888334	True
head10428	SM_V7_6	12330555	12331555	-	423	1000	Smp_141940	dir	23434.0		0.20697500968397653	12354989.0	12360820.0	+	5831	4.627505304100764	False
head10431	SM_V7_3	12339185	12340185	+	224	1000	Smp_194720	olap	0.0		0.3269054259946491	12316361.0	12354807.0	-	38446	6.480001986337482	False
head10432	SM_V7_4	12344997	12345997	+	779	1000	Smp_170810	olap	0.0		0.2044815574849412	12320807.0	12387150.0	-	66343	0.9761923305631436	False
head10438	SM_V7_5	12349508	12350508	+	906	1000	Smp_058130	dir	38383.0		0.06136197129259944	12388891.0	12402786.0	-	13895	15.480791787006758	False
head10449	SM_V7_5	12368703	12369703	+	426	1000	Smp_058130	dir	19188.0	-0.3846033879729755	0.5635910332195465	12388891.0	12402786.0	-	13895	15.480791787006758	False
head1045	SM_V7_5H010	40772	41772	-	324	1000	Smp_331040	olap	0.0		0.08172635649866228	21306.0	56925.0	+	35619	0.2932466065929606	False
head10453	SM_V7_4	12371251	12372251	+	999	1000	Smp_170810	olap	0.0		0.32196337336822656	12320807.0	12387150.0	-	66343	0.9761923305631436	False
head10457	SM_V7_4	12377211	12378211	+	64	1000	Smp_170810	olap	0.0	0.6852815251394001	0.7518457842817688	12320807.0	12387150.0	-	66343	0.9761923305631436	False
head1046	SM_V7_ZWU005	42176	43176	+	78	1000	Smp_327830	esq	3056.0		2.128402638714638	38296.0	39120.0	+	824	0.45244578998536533	True
head10461	SM_V7_3	12381036	12382036	+	160	1000	Smp_194710	olap	0.0	0.5361694874910975	0.8607457734463871	12372936.0	12436896.0	-	63960	4.016994138748851	False
head10465	SM_V7_1	12385918	12386918	-	95	1000	Smp_124050	olap	0.0		0.02719445890056556	12354088.0	12422037.0	+	67949	7.133420691362147	False
head10469	SM_V7_6	12389553	12390553	-	711	1000	Smp_141930	olap	0.0		0.4001124912484896	12385777.0	12390395.0	-	4618	0.7507040031640118	True
head1047	SM_V7_W011	45325	46325	+	3186	1000	Smp_308070	dir	12482.0		0.0	58807.0	62862.0	-	4055	0.0	False
head10470	SM_V7_1	12390021	12391021	-	911	1000	Smp_124050	olap	0.0	0.8201423930160322	32.587238758589564	12354088.0	12422037.0	+	67949	7.133420691362147	False
head10473	SM_V7_3	12390776	12391776	-	644	1000	Smp_194710	olap	0.0		0.088556430193165	12372936.0	12436896.0	-	63960	4.016994138748851	True
head10475	SM_V7_4	12392515	12393515	-	2246	1000	Smp_089200	dir	10859.0	0.3537301055476152	0.5567963397062552	12404374.0	12429342.0	+	24968	2.1545664016087045	False
head10481	SM_V7_2	12409028	12410028	-	210	1000	Smp_011220	olap	0.0	-0.2846024807637421	2.14992932823139	12398763.0	12435579.0	+	36816	7.080182987161288	False
head10482	SM_V7_6	12411210	12412210	-	111	1000	Smp_141930	esq	20815.0		0.0	12385777.0	12390395.0	-	4618	0.7507040031640118	True
head10484	SM_V7_1	12412069	12413069	-	509	1000	Smp_124050	olap	0.0	0.8232862757586962	37.01403166242177	12354088.0	12422037.0	+	67949	7.133420691362147	False
head10487	SM_V7_6	12422665	12423665	-	260	1000	Smp_141930	esq	32270.0		0.1534049282314986	12385777.0	12390395.0	-	4618	0.7507040031640118	True
head105	SM_V7_7H009	3465	4465	+	432	1000					0.35258804807535365						False
head10506	SM_V7_3	12455450	12456450	+	1153	1000	Smp_194710	esq	18554.0		0.03068098564629972	12372936.0	12436896.0	-	63960	4.016994138748851	False
head10509	SM_V7_4	12463312	12464312	+	220	1000	Smp_089220	dir	4905.0	0.5658830860612325	3.954685929389716	12469217.0	12488260.0	-	19043	9.9458575836551	False
head10516	SM_V7_6	12473003	12474003	+	998	1000	Smp_068510	olap	0.0		0.6461912740248018	12458102.0	12517638.0	+	59536	2.1418451934849996	True
head10517	SM_V7_5	12475804	12476804	+	414	1000	Smp_085540	olap	0.0	0.9764063238365336	140.7770941680964	12470694.0	12520826.0	-	50132	36.66768243036386	False
head10518	SM_V7_6	12476656	12477656	+	396	1000	Smp_068510	olap	0.0	0.2308561051708151	1.0019071926968486	12458102.0	12517638.0	+	59536	2.1418451934849996	True
head10522	SM_V7_3	12478786	12479786	-	309	1000	Smp_194700	dir	31747.0		0.06136197129259944	12511533.0	12542679.0	+	31146	0.3035929617914811	False
head10523	SM_V7_6	12479477	12480477	-	305	1000	Smp_068510	olap	0.0		0.38254732511199113	12458102.0	12517638.0	+	59536	2.1418451934849996	False
head10524	SM_V7_1	12479737	12480737	-	265	1000	Smp_342000	esq	19003.0		0.0	12458616.0	12460734.0	-	2118	2.2967031920214445	True
head10527	SM_V7_7	12481819	12482819	-	339	1000	Smp_300920	esq	14974.0	0.6742328226767669	2.1793066008832653	12443947.0	12466845.0	+	22898	72.72123942393397	False
head10528	SM_V7_3	12486385	12487385	+	222	1000	Smp_194700	dir	24148.0		0.05793352394621382	12511533.0	12542679.0	+	31146	0.3035929617914811	True
head1053	SM_V7_ZWH010	43344	44344	+	801	1000	Smp_318770	olap	0.0		1.361915998457926	44136.0	45010.0	+	874	0.20922546833968855	True
head10534	SM_V7_5	12489331	12490331	+	129	1000	Smp_085540	olap	0.0	0.34358377446901583	1.4785339078464075	12470694.0	12520826.0	-	50132	36.66768243036386	False
head10535	SM_V7_3	12490963	12491963	-	98	1000	Smp_194700	dir	19570.0		0.12258953474799343	12511533.0	12542679.0	+	31146	0.3035929617914811	False
head10544	SM_V7_3	12511067	12512067	-	865	1000	Smp_194700	olap	0.0		0.4089525908452441	12511533.0	12542679.0	+	31146	0.3035929617914811	False
head10547	SM_V7_2	12513963	12514963	-	434	1000	Smp_245570	olap	0.0		0.0	12500243.0	12522627.0	+	22384	0.0684627153636622	False
head10557	SM_V7_3	12528311	12529311	-	312	1000	Smp_194700	olap	0.0		0.061294767373996716	12511533.0	12542679.0	+	31146	0.3035929617914811	False
head1056	SM_V7_U003	43455	44455	+	547	1000	Smp_331960	olap	0.0	0.9392491363929644	3.330346863245584	43924.0	57912.0	-	13988	0.6795036177572588	False
head10565	SM_V7_7	12545915	12546915	+	669	1000	Smp_134540	esq	2970.0		0.0	12530607.0	12542945.0	+	12338	2.8575103464881195	True
head10568	SM_V7_4	12544636	12545636	-	3158	1000	Smp_089240	esq	12776.0		0.0	12499192.0	12531860.0	-	32668	4.302498738606207	True
head10570	SM_V7_7	12551302	12552302	+	223	1000	Smp_134540	esq	8357.0		0.0	12530607.0	12542945.0	+	12338	2.8575103464881195	True
head10572	SM_V7_7	12552887	12553887	+	278	1000	Smp_134540	esq	9942.0		0.0	12530607.0	12542945.0	+	12338	2.8575103464881195	True
head10573	SM_V7_1	12560292	12561292	+	3181	1000	Smp_124030	esq	13968.0		0.0	12532540.0	12546324.0	-	13784	13.486500409293399	False
head10580	SM_V7_1	12577267	12578267	+	3181	1000	Smp_124020	dir	3571.0		0.0	12581838.0	12586702.0	+	4864	17.055175395861806	True
head10588	SM_V7_7	12584924	12585924	-	551	1000	Smp_134530	olap	0.0		0.0	12568427.0	12636210.0	+	67783	0.6026548223294237	False
head10599	SM_V7_6	12608989	12609989	+	295	1000	Smp_345050	dir	1231.0		0.5954799428127234	12611220.0	12617205.0	-	5985	5.3776558371198515	False
head10600	SM_V7_2	12609119	12610119	-	176	1000	Smp_128120	olap	0.0	0.9024870621375076	38.26123143559143	12595321.0	12634101.0	+	38780	29.522619346017194	False
head10603	SM_V7_6	12615788	12616788	+	176	1000	Smp_345050	olap	0.0		0.11586704789242765	12611220.0	12617205.0	-	5985	5.3776558371198515	False
head10607	SM_V7_6	12623896	12624896	-	176	1000	Smp_159290	olap	0.0		0.0	12622965.0	12624624.0	+	1659	0.03698732446811298	False
head10616	SM_V7_6	12639623	12640623	+	223	1000	Smp_193680	dir	2395.0		0.14654803353872736	12643018.0	12644685.0	-	1667	0.4536490258971771	False
head10617	SM_V7_6	12639013	12640013	-	127	1000	Smp_193680	dir	3005.0		0.0	12643018.0	12644685.0	-	1667	0.4536490258971771	True
head1062	SM_V7_2	40437	41437	-	1677	1000	Smp_118780	esq	6857.0		0.25694828305551337	16526.0	33580.0	+	17054	4.443997630213805	False
head10620	SM_V7_2	12652055	12653055	-	114	1000	Smp_128110	olap	0.0	0.8052047713021337	3.9430730007491825	12646413.0	12663887.0	+	17474	0.8744504307405035	False
head10623	SM_V7_1	12656753	12657753	-	150	1000	Smp_124010	esq	16049.0		0.0	12615916.0	12640704.0	-	24788	0.3037210244427859	True
head10627	SM_V7_6	12661619	12662619	+	154	1000	Smp_002630	dir	11890.0		0.0	12674509.0	12676449.0	+	1940	0.08410657391927492	True
head10630	SM_V7_1	12664200	12665200	-	223	1000	Smp_124010	esq	23496.0		0.0	12615916.0	12640704.0	-	24788	0.3037210244427859	True
head10634	SM_V7_1	12669086	12670086	+	180	1000	Smp_124010	esq	28382.0		0.10222514954193057	12615916.0	12640704.0	-	24788	0.3037210244427859	False
head10639	SM_V7_1	12671592	12672592	-	457	1000	Smp_124000	dir	26744.0		0.03068098564629972	12699336.0	12723152.0	+	23816	39.929365795073025	False
head10640	SM_V7_6	12674184	12675184	+	303	1000	Smp_002630	olap	0.0		0.08158337670169667	12674509.0	12676449.0	+	1940	0.08410657391927492	True
head10646	SM_V7_1	12678021	12679021	-	198	1000	Smp_124000	dir	20315.0		0.05793352394621382	12699336.0	12723152.0	+	23816	39.929365795073025	False
head10647	SM_V7_6	12680815	12681815	+	223	1000	Smp_123550	dir	644.0		0.16609891694777923	12682459.0	12685733.0	+	3274	0.45788076196847693	True
head10649	SM_V7_6	12680186	12681186	-	156	1000	Smp_123550	dir	1273.0		0.0	12682459.0	12685733.0	+	3274	0.45788076196847693	False
head10653	SM_V7_7	12689507	12690507	+	521	1000	Smp_134500	olap	0.0	0.6865156354107511	2.011623262458061	12665797.0	12711172.0	-	45375	0.9415097775034541	False
head10654	SM_V7_3	12689649	12690649	+	437	1000	Smp_121780	esq	1140.0	0.042230522490482564	8.237080881101024	12626854.0	12688509.0	-	61655	6.779631687215197	False
head10656	SM_V7_2	12686479	12687479	-	1754	1000	Smp_011120	esq	1152.0	0.40219363284497933	1.0845711603804071	12672773.0	12685327.0	+	12554	39.628094461622275	False
head10663	SM_V7_2	12699423	12700423	-	3187	1000	Smp_335960	olap	0.0		0.8657629055767181	12692213.0	12730202.0	+	37989	0.5078026452750604	False
head10668	SM_V7_6	12710087	12711087	+	895	1000	Smp_345060	dir	3842.0		0.2113384521777124	12714929.0	12720390.0	+	5461	1.371187077146442	True
head10677	SM_V7_ZW	12715221	12716221	+	3200	1000	Smp_345900	olap	0.0		0.0	12700192.0	12734206.0	+	34014	0.3064464059561002	True
head10682	SM_V7_1	12717720	12718720	+	207	1000	Smp_124000	olap	0.0	0.9670208962127356	67.16705863893785	12699336.0	12723152.0	+	23816	39.929365795073025	True
